step,layer_idx,g_task_abs_mean,g_penalty_abs_mean,penalty_to_task_ratio,sqrt_v_hat_mean,update_abs_mean,lambda,flops_fraction,violation
100,95,1.727e-06,1.738e-05,1.006e+01,9.695e-06,9.220e-04,1.1137,0.6045,0.1045
100,96,3.842e-06,1.735e-05,4.515e+00,1.053e-05,8.466e-04,1.1137,0.6045,0.1045
100,100,5.833e-07,1.739e-05,2.981e+01,9.242e-06,9.625e-04,1.1137,0.6045,0.1045
100,101,1.257e-06,1.739e-05,1.384e+01,9.250e-06,9.594e-04,1.1137,0.6045,0.1045
100,105,4.836e-06,1.738e-05,3.593e+00,9.717e-06,9.233e-04,1.1137,0.6045,0.1045
100,106,9.032e-06,1.734e-05,1.920e+00,1.084e-05,8.357e-04,1.1137,0.6045,0.1045
100,124,2.397e-06,1.737e-05,7.250e+00,9.810e-06,9.120e-04,1.1137,0.6045,0.1045
100,125,5.251e-06,1.735e-05,3.304e+00,1.083e-05,8.305e-04,1.1137,0.6045,0.1045
100,129,9.756e-06,1.732e-05,1.776e+00,1.323e-05,7.693e-04,1.1137,0.6045,0.1045
100,130,2.237e-05,1.722e-05,7.699e-01,2.051e-05,4.924e-04,1.1137,0.6045,0.1045
100,134,1.839e-05,1.730e-05,9.404e-01,1.611e-05,7.002e-04,1.1137,0.6045,0.1045
100,135,3.515e-05,1.718e-05,4.888e-01,3.041e-05,4.119e-04,1.1137,0.6045,0.1045
100,139,1.455e-06,1.738e-05,1.195e+01,9.511e-06,9.396e-04,1.1137,0.6045,0.1045
100,140,3.221e-06,1.737e-05,5.392e+00,1.001e-05,8.965e-04,1.1137,0.6045,0.1045
200,22,1.027e-06,1.920e-05,1.869e+01,9.866e-06,9.624e-04,1.2087,0.5852,0.0852
200,23,2.721e-06,1.920e-05,7.055e+00,9.923e-06,9.534e-04,1.2087,0.5852,0.0852
200,27,1.366e-05,1.903e-05,1.393e+00,1.539e-05,7.217e-04,1.2087,0.5852,0.0852
200,28,3.138e-05,1.880e-05,5.989e-01,2.691e-05,4.277e-04,1.2087,0.5852,0.0852
200,32,1.630e-06,1.920e-05,1.178e+01,9.943e-06,9.570e-04,1.2087,0.5852,0.0852
200,33,3.499e-06,1.919e-05,5.483e+00,1.013e-05,9.395e-04,1.2087,0.5852,0.0852
200,37,1.882e-05,1.901e-05,1.010e+00,1.630e-05,7.038e-04,1.2087,0.5852,0.0852
200,38,3.561e-05,1.877e-05,5.273e-01,2.974e-05,3.892e-04,1.2087,0.5852,0.0852
200,56,1.429e-06,1.920e-05,1.344e+01,9.910e-06,9.607e-04,1.2087,0.5852,0.0852
200,57,2.882e-06,1.919e-05,6.659e+00,1.003e-05,9.454e-04,1.2087,0.5852,0.0852
200,61,2.044e-05,1.900e-05,9.297e-01,1.715e-05,6.869e-04,1.2087,0.5852,0.0852
200,62,4.213e-05,1.878e-05,4.459e-01,2.873e-05,4.102e-04,1.2087,0.5852,0.0852
200,66,5.592e-06,1.912e-05,3.419e+00,1.183e-05,8.469e-04,1.2087,0.5852,0.0852
200,67,1.339e-05,1.899e-05,1.418e+00,1.569e-05,6.397e-04,1.2087,0.5852,0.0852
200,71,6.741e-06,1.912e-05,2.836e+00,1.188e-05,8.467e-04,1.2087,0.5852,0.0852
200,72,1.372e-05,1.898e-05,1.383e+00,1.597e-05,6.406e-04,1.2087,0.5852,0.0852
200,90,2.843e-05,1.894e-05,6.661e-01,2.137e-05,6.029e-04,1.2087,0.5852,0.0852
200,91,5.171e-05,1.871e-05,3.618e-01,3.893e-05,3.469e-04,1.2087,0.5852,0.0852
