step,layer_idx,g_task_abs_mean,g_penalty_abs_mean,penalty_to_task_ratio,sqrt_v_hat_mean,update_abs_mean,lambda,flops_fraction,violation
100,125,1.354e-06,1.957e-06,1.445e+00,1.377e-06,7.591e-04,0.1266,0.6079,0.1079
100,129,1.951e-06,1.957e-06,1.003e+00,1.828e-06,7.769e-04,0.1266,0.6079,0.1079
100,130,4.225e-06,1.946e-06,4.606e-01,3.471e-06,4.221e-04,0.1266,0.6079,0.1079
100,134,3.723e-06,1.952e-06,5.243e-01,2.612e-06,6.233e-04,0.1266,0.6079,0.1079
100,135,7.997e-06,1.944e-06,2.430e-01,5.642e-06,3.395e-04,0.1266,0.6079,0.1079
100,139,2.557e-07,1.976e-06,7.726e+00,8.308e-07,1.215e-03,0.1266,0.6079,0.1079
100,140,4.612e-07,1.965e-06,4.260e+00,1.029e-06,1.007e-03,0.1266,0.6079,0.1079
200,22,2.233e-07,3.568e-06,1.598e+01,1.329e-06,1.346e-03,0.2229,0.5838,0.0838
200,23,5.539e-07,3.557e-06,6.421e+00,1.348e-06,1.320e-03,0.2229,0.5838,0.0838
200,27,2.769e-06,3.494e-06,1.261e+00,2.622e-06,8.910e-04,0.2229,0.5838,0.0838
200,28,5.817e-06,3.447e-06,5.926e-01,4.865e-06,5.135e-04,0.2229,0.5838,0.0838
200,32,2.968e-07,3.563e-06,1.200e+01,1.347e-06,1.331e-03,0.2229,0.5838,0.0838
200,33,6.219e-07,3.549e-06,5.707e+00,1.393e-06,1.282e-03,0.2229,0.5838,0.0838
200,37,3.539e-06,3.488e-06,9.857e-01,2.798e-06,8.485e-04,0.2229,0.5838,0.0838
200,38,7.043e-06,3.445e-06,4.890e-01,5.424e-06,4.424e-04,0.2229,0.5838,0.0838
200,56,2.121e-07,3.565e-06,1.681e+01,1.338e-06,1.340e-03,0.2229,0.5838,0.0838
200,57,4.654e-07,3.553e-06,7.634e+00,1.366e-06,1.305e-03,0.2229,0.5838,0.0838
200,61,4.109e-06,3.483e-06,8.476e-01,3.116e-06,8.117e-04,0.2229,0.5838,0.0838
200,62,8.480e-06,3.443e-06,4.060e-01,5.570e-06,4.596e-04,0.2229,0.5838,0.0838
200,66,1.233e-06,3.522e-06,2.857e+00,1.822e-06,1.096e-03,0.2229,0.5838,0.0838
200,67,2.474e-06,3.484e-06,1.408e+00,2.662e-06,7.719e-04,0.2229,0.5838,0.0838
200,71,1.177e-06,3.526e-06,2.996e+00,1.715e-06,1.131e-03,0.2229,0.5838,0.0838
200,72,2.503e-06,3.485e-06,1.392e+00,2.444e-06,8.313e-04,0.2229,0.5838,0.0838
200,90,5.640e-06,3.469e-06,6.152e-01,3.925e-06,6.840e-04,0.2229,0.5838,0.0838
200,91,1.019e-05,3.435e-06,3.370e-01,7.280e-06,3.927e-04,0.2229,0.5838,0.0838
200,95,5.871e-07,3.549e-06,6.045e+00,1.422e-06,1.272e-03,0.2229,0.5838,0.0838
200,96,1.221e-06,3.522e-06,2.884e+00,1.600e-06,1.131e-03,0.2229,0.5838,0.0838
200,100,6.019e-08,3.572e-06,5.934e+01,1.325e-06,1.354e-03,0.2229,0.5838,0.0838
200,101,1.518e-07,3.570e-06,2.352e+01,1.327e-06,1.352e-03,0.2229,0.5838,0.0838
200,105,5.220e-07,3.549e-06,6.798e+00,1.446e-06,1.259e-03,0.2229,0.5838,0.0838
200,106,1.215e-06,3.515e-06,2.892e+00,1.740e-06,1.056e-03,0.2229,0.5838,0.0838
200,124,7.885e-07,3.542e-06,4.493e+00,1.488e-06,1.230e-03,0.2229,0.5838,0.0838
200,125,1.742e-06,3.510e-06,2.015e+00,1.770e-06,1.039e-03,0.2229,0.5838,0.0838
200,129,2.102e-06,3.507e-06,1.668e+00,2.202e-06,9.904e-04,0.2229,0.5838,0.0838
200,130,4.115e-06,3.461e-06,8.411e-01,3.675e-06,6.058e-04,0.2229,0.5838,0.0838
200,134,3.413e-06,3.489e-06,1.022e+00,2.931e-06,8.495e-04,0.2229,0.5838,0.0838
200,135,7.634e-06,3.448e-06,4.516e-01,5.785e-06,4.655e-04,0.2229,0.5838,0.0838
200,139,7.627e-07,3.555e-06,4.661e+00,1.405e-06,1.286e-03,0.2229,0.5838,0.0838
200,140,1.602e-06,3.532e-06,2.204e+00,1.559e-06,1.166e-03,0.2229,0.5838,0.0838
300,22,2.276e-07,4.759e-06,2.091e+01,1.852e-06,1.330e-03,0.2936,0.5569,0.0569
300,23,5.513e-07,4.751e-06,8.618e+00,1.860e-06,1.318e-03,0.2936,0.5569,0.0569
300,27,2.742e-06,4.666e-06,1.702e+00,2.971e-06,9.894e-04,0.2936,0.5569,0.0569
300,28,6.009e-06,4.583e-06,7.627e-01,5.059e-06,6.189e-04,0.2936,0.5569,0.0569
300,32,3.280e-07,4.756e-06,1.450e+01,1.866e-06,1.322e-03,0.2936,0.5569,0.0569
300,33,6.521e-07,4.744e-06,7.275e+00,1.895e-06,1.296e-03,0.2936,0.5569,0.0569
300,37,3.604e-06,4.659e-06,1.293e+00,3.139e-06,9.459e-04,0.2936,0.5569,0.0569
300,38,8.099e-06,4.575e-06,5.649e-01,5.613e-06,5.449e-04,0.2936,0.5569,0.0569
300,56,2.201e-07,4.757e-06,2.162e+01,1.860e-06,1.327e-03,0.2936,0.5569,0.0569
300,57,4.838e-07,4.748e-06,9.812e+00,1.877e-06,1.310e-03,0.2936,0.5569,0.0569
300,61,3.368e-06,4.650e-06,1.381e+00,3.432e-06,9.072e-04,0.2936,0.5569,0.0569
300,62,7.450e-06,4.573e-06,6.138e-01,5.718e-06,5.238e-04,0.2936,0.5569,0.0569
300,66,1.521e-06,4.709e-06,3.095e+00,2.253e-06,1.157e-03,0.2936,0.5569,0.0569
300,67,3.039e-06,4.653e-06,1.531e+00,2.983e-06,9.029e-04,0.2936,0.5569,0.0569
300,71,1.638e-06,4.714e-06,2.877e+00,2.166e-06,1.173e-03,0.2936,0.5569,0.0569
300,72,3.619e-06,4.657e-06,1.287e+00,2.799e-06,9.229e-04,0.2936,0.5569,0.0569
300,90,5.707e-06,4.627e-06,8.107e-01,4.214e-06,8.075e-04,0.2936,0.5569,0.0569
300,91,1.097e-05,4.554e-06,4.152e-01,7.425e-06,4.658e-04,0.2936,0.5569,0.0569
300,95,5.364e-07,4.742e-06,8.840e+00,1.915e-06,1.287e-03,0.2936,0.5569,0.0569
300,96,9.835e-07,4.714e-06,4.793e+00,2.035e-06,1.200e-03,0.2936,0.5569,0.0569
300,100,6.277e-08,4.762e-06,7.587e+01,1.852e-06,1.333e-03,0.2936,0.5569,0.0569
300,101,1.355e-07,4.761e-06,3.513e+01,1.853e-06,1.333e-03,0.2936,0.5569,0.0569
300,105,7.867e-07,4.741e-06,6.026e+00,1.945e-06,1.278e-03,0.2936,0.5569,0.0569
300,106,2.085e-06,4.704e-06,2.256e+00,2.176e-06,1.153e-03,0.2936,0.5569,0.0569
300,124,1.011e-06,4.735e-06,4.685e+00,1.977e-06,1.263e-03,0.2936,0.5569,0.0569
300,125,1.866e-06,4.699e-06,2.518e+00,2.199e-06,1.156e-03,0.2936,0.5569,0.0569
