step,layer_idx,g_task_abs_mean,g_penalty_abs_mean,penalty_to_task_ratio,sqrt_v_hat_mean,update_abs_mean,lambda,flops_fraction,violation
0,22,1.286e-07,1.530e-06,1.190e+01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,23,2.979e-07,1.530e-06,5.136e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,27,2.474e-06,1.530e-06,6.185e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,28,5.617e-06,1.530e-06,2.724e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,32,2.800e-07,1.530e-06,5.464e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,33,5.310e-07,1.530e-06,2.881e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,37,3.648e-06,1.530e-06,4.194e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,38,7.938e-06,1.530e-06,1.927e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,56,1.723e-07,1.530e-06,8.879e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,57,3.601e-07,1.530e-06,4.248e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,61,3.376e-06,1.530e-06,4.532e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,62,6.482e-06,1.530e-06,2.360e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,66,1.619e-06,1.530e-06,9.449e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,67,3.789e-06,1.530e-06,4.038e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,71,1.061e-06,1.530e-06,1.442e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,72,2.386e-06,1.530e-06,6.413e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,90,4.454e-06,1.530e-06,3.435e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,91,9.076e-06,1.530e-06,1.686e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,95,7.247e-07,1.530e-06,2.111e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,96,1.431e-06,1.530e-06,1.069e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,100,9.097e-08,1.530e-06,1.682e+01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,101,1.994e-07,1.530e-06,7.672e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,105,3.957e-07,1.530e-06,3.866e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,106,9.439e-07,1.530e-06,1.621e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,124,8.805e-07,1.530e-06,1.738e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,125,1.773e-06,1.530e-06,8.629e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,129,2.274e-06,1.530e-06,6.727e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,130,4.768e-06,1.530e-06,3.209e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,134,2.537e-06,1.530e-06,6.029e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,135,5.917e-06,1.530e-06,2.586e-01,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,139,2.865e-07,1.530e-06,5.340e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
0,140,6.588e-07,1.530e-06,2.323e+00,0.000e+00,0.000e+00,0.1000,0.6225,0.1225
100,22,1.339e-07,3.348e-06,2.501e+01,1.498e-06,1.142e-03,0.2141,0.6042,0.1042
100,23,3.021e-07,3.347e-06,1.108e+01,1.512e-06,1.123e-03,0.2141,0.6042,0.1042
100,27,3.088e-06,3.322e-06,1.076e+00,2.733e-06,7.993e-04,0.2141,0.6042,0.1042
100,28,6.933e-06,3.298e-06,4.757e-01,4.935e-06,4.779e-04,0.2141,0.6042,0.1042
100,32,2.387e-07,3.347e-06,1.402e+01,1.515e-06,1.132e-03,0.2141,0.6042,0.1042
100,33,4.962e-07,3.345e-06,6.740e+00,1.558e-06,1.101e-03,0.2141,0.6042,0.1042
100,37,2.885e-06,3.319e-06,1.151e+00,2.912e-06,7.646e-04,0.2141,0.6042,0.1042
100,38,7.085e-06,3.296e-06,4.652e-01,5.497e-06,4.440e-04,0.2141,0.6042,0.1042
100,56,2.214e-07,3.348e-06,1.512e+01,1.508e-06,1.138e-03,0.2141,0.6042,0.1042
100,57,6.164e-07,3.345e-06,5.427e+00,1.539e-06,1.114e-03,0.2141,0.6042,0.1042
100,61,3.732e-06,3.317e-06,8.887e-01,3.220e-06,7.298e-04,0.2141,0.6042,0.1042
100,62,7.190e-06,3.296e-06,4.584e-01,5.589e-06,4.302e-04,0.2141,0.6042,0.1042
100,66,1.078e-06,3.334e-06,3.094e+00,1.967e-06,9.530e-04,0.2141,0.6042,0.1042
100,67,1.950e-06,3.317e-06,1.701e+00,2.787e-06,7.071e-04,0.2141,0.6042,0.1042
100,71,1.587e-06,3.336e-06,2.102e+00,1.841e-06,9.793e-04,0.2141,0.6042,0.1042
100,72,3.204e-06,3.319e-06,1.036e+00,2.505e-06,7.279e-04,0.2141,0.6042,0.1042
100,90,5.058e-06,3.310e-06,6.544e-01,3.995e-06,6.294e-04,0.2141,0.6042,0.1042
100,91,9.691e-06,3.290e-06,3.395e-01,7.259e-06,3.555e-04,0.2141,0.6042,0.1042
100,95,4.554e-07,3.343e-06,7.341e+00,1.589e-06,1.090e-03,0.2141,0.6042,0.1042
100,96,9.435e-07,3.335e-06,3.535e+00,1.750e-06,9.923e-04,0.2141,0.6042,0.1042
100,100,1.096e-07,3.349e-06,3.054e+01,1.494e-06,1.147e-03,0.2141,0.6042,0.1042
100,101,2.282e-07,3.349e-06,1.467e+01,1.496e-06,1.145e-03,0.2141,0.6042,0.1042
100,105,9.815e-07,3.343e-06,3.407e+00,1.612e-06,1.083e-03,0.2141,0.6042,0.1042
100,106,2.026e-06,3.332e-06,1.645e+00,1.897e-06,9.467e-04,0.2141,0.6042,0.1042
100,124,6.943e-07,3.341e-06,4.813e+00,1.649e-06,1.056e-03,0.2141,0.6042,0.1042
100,125,1.368e-06,3.330e-06,2.434e+00,1.919e-06,9.119e-04,0.2141,0.6042,0.1042
100,129,1.956e-06,3.328e-06,1.702e+00,2.346e-06,8.735e-04,0.2141,0.6042,0.1042
100,130,4.137e-06,3.306e-06,7.991e-01,3.783e-06,5.597e-04,0.2141,0.6042,0.1042
100,134,3.717e-06,3.320e-06,8.933e-01,3.044e-06,7.688e-04,0.2141,0.6042,0.1042
