step,layer_idx,g_task_abs_mean,g_penalty_abs_mean,penalty_to_task_ratio,sqrt_v_hat_mean,update_abs_mean,lambda,flops_fraction,violation
100,125,1.406e-06,1.828e-06,1.300e+00,1.341e-06,7.267e-04,0.1184,0.6090,0.1090
100,129,1.930e-06,1.829e-06,9.474e-01,1.788e-06,7.568e-04,0.1184,0.6090,0.1090
100,130,4.222e-06,1.819e-06,4.308e-01,3.432e-06,4.072e-04,0.1184,0.6090,0.1090
100,134,3.712e-06,1.824e-06,4.914e-01,2.585e-06,6.019e-04,0.1184,0.6090,0.1090
100,135,7.902e-06,1.817e-06,2.300e-01,5.639e-06,3.329e-04,0.1184,0.6090,0.1090
100,139,2.410e-07,1.846e-06,7.660e+00,7.711e-07,1.227e-03,0.1184,0.6090,0.1090
100,140,4.588e-07,1.836e-06,4.001e+00,9.817e-07,9.928e-04,0.1184,0.6090,0.1090
200,22,2.211e-07,3.454e-06,1.562e+01,1.264e-06,1.366e-03,0.2159,0.5849,0.0849
200,23,5.442e-07,3.442e-06,6.325e+00,1.284e-06,1.337e-03,0.2159,0.5849,0.0849
200,27,2.737e-06,3.379e-06,1.235e+00,2.586e-06,8.869e-04,0.2159,0.5849,0.0849
200,28,5.943e-06,3.336e-06,5.613e-01,4.841e-06,4.999e-04,0.2159,0.5849,0.0849
200,32,3.053e-07,3.449e-06,1.130e+01,1.283e-06,1.350e-03,0.2159,0.5849,0.0849
200,33,6.305e-07,3.433e-06,5.446e+00,1.330e-06,1.296e-03,0.2159,0.5849,0.0849
200,37,3.554e-06,3.374e-06,9.493e-01,2.762e-06,8.439e-04,0.2159,0.5849,0.0849
200,38,7.057e-06,3.334e-06,4.724e-01,5.409e-06,4.401e-04,0.2159,0.5849,0.0849
200,56,2.661e-07,3.451e-06,1.297e+01,1.273e-06,1.359e-03,0.2159,0.5849,0.0849
200,57,5.582e-07,3.438e-06,6.159e+00,1.302e-06,1.320e-03,0.2159,0.5849,0.0849
200,61,3.977e-06,3.369e-06,8.471e-01,3.085e-06,8.030e-04,0.2159,0.5849,0.0849
200,62,8.136e-06,3.332e-06,4.095e-01,5.552e-06,4.474e-04,0.2159,0.5849,0.0849
200,66,1.198e-06,3.408e-06,2.843e+00,1.770e-06,1.100e-03,0.2159,0.5849,0.0849
200,67,2.543e-06,3.370e-06,1.325e+00,2.626e-06,7.641e-04,0.2159,0.5849,0.0849
200,71,1.293e-06,3.411e-06,2.637e+00,1.662e-06,1.135e-03,0.2159,0.5849,0.0849
200,72,2.762e-06,3.371e-06,1.221e+00,2.411e-06,8.200e-04,0.2159,0.5849,0.0849
200,90,5.705e-06,3.357e-06,5.883e-01,3.893e-06,6.761e-04,0.2159,0.5849,0.0849
200,91,9.918e-06,3.325e-06,3.352e-01,7.254e-06,3.909e-04,0.2159,0.5849,0.0849
200,95,5.223e-07,3.433e-06,6.574e+00,1.364e-06,1.284e-03,0.2159,0.5849,0.0849
200,96,1.111e-06,3.406e-06,3.064e+00,1.554e-06,1.129e-03,0.2159,0.5849,0.0849
200,100,5.353e-08,3.459e-06,6.462e+01,1.260e-06,1.375e-03,0.2159,0.5849,0.0849
200,101,1.310e-07,3.456e-06,2.637e+01,1.261e-06,1.373e-03,0.2159,0.5849,0.0849
200,105,5.565e-07,3.433e-06,6.169e+00,1.388e-06,1.270e-03,0.2159,0.5849,0.0849
200,106,1.323e-06,3.400e-06,2.570e+00,1.693e-06,1.052e-03,0.2159,0.5849,0.0849
200,124,8.156e-07,3.427e-06,4.203e+00,1.429e-06,1.241e-03,0.2159,0.5849,0.0849
200,125,1.911e-06,3.395e-06,1.776e+00,1.721e-06,1.034e-03,0.2159,0.5849,0.0849
200,129,2.115e-06,3.392e-06,1.603e+00,2.159e-06,9.874e-04,0.2159,0.5849,0.0849
200,130,4.117e-06,3.349e-06,8.135e-01,3.654e-06,5.876e-04,0.2159,0.5849,0.0849
200,134,3.348e-06,3.375e-06,1.008e+00,2.889e-06,8.437e-04,0.2159,0.5849,0.0849
200,135,7.431e-06,3.336e-06,4.490e-01,5.768e-06,4.606e-04,0.2159,0.5849,0.0849
200,139,7.893e-07,3.440e-06,4.358e+00,1.342e-06,1.303e-03,0.2159,0.5849,0.0849
200,140,1.710e-06,3.417e-06,1.998e+00,1.502e-06,1.172e-03,0.2159,0.5849,0.0849
300,22,2.275e-07,4.661e-06,2.049e+01,1.792e-06,1.345e-03,0.2875,0.5579,0.0579
300,23,5.514e-07,4.652e-06,8.437e+00,1.800e-06,1.331e-03,0.2875,0.5579,0.0579
300,27,2.751e-06,4.566e-06,1.660e+00,2.931e-06,9.903e-04,0.2875,0.5579,0.0579
300,28,6.026e-06,4.485e-06,7.443e-01,5.027e-06,6.124e-04,0.2875,0.5579,0.0579
300,32,3.269e-07,4.657e-06,1.425e+01,1.806e-06,1.336e-03,0.2875,0.5579,0.0579
300,33,6.610e-07,4.644e-06,7.026e+00,1.836e-06,1.310e-03,0.2875,0.5579,0.0579
300,37,3.604e-06,4.559e-06,1.265e+00,3.100e-06,9.451e-04,0.2875,0.5579,0.0579
300,38,8.105e-06,4.478e-06,5.524e-01,5.589e-06,5.398e-04,0.2875,0.5579,0.0579
300,56,2.174e-07,4.659e-06,2.144e+01,1.799e-06,1.342e-03,0.2875,0.5579,0.0579
300,57,4.749e-07,4.649e-06,9.788e+00,1.817e-06,1.324e-03,0.2875,0.5579,0.0579
300,61,3.412e-06,4.550e-06,1.333e+00,3.393e-06,9.065e-04,0.2875,0.5579,0.0579
300,62,7.473e-06,4.475e-06,5.989e-01,5.699e-06,5.190e-04,0.2875,0.5579,0.0579
300,66,1.523e-06,4.609e-06,3.027e+00,2.201e-06,1.164e-03,0.2875,0.5579,0.0579
300,67,3.043e-06,4.553e-06,1.496e+00,2.943e-06,8.999e-04,0.2875,0.5579,0.0579
300,71,1.617e-06,4.614e-06,2.853e+00,2.115e-06,1.179e-03,0.2875,0.5579,0.0579
300,72,3.528e-06,4.557e-06,1.292e+00,2.760e-06,9.189e-04,0.2875,0.5579,0.0579
300,90,5.754e-06,4.527e-06,7.868e-01,4.181e-06,8.036e-04,0.2875,0.5579,0.0579
300,91,1.090e-05,4.458e-06,4.088e-01,7.407e-06,4.608e-04,0.2875,0.5579,0.0579
300,95,5.266e-07,4.642e-06,8.815e+00,1.857e-06,1.299e-03,0.2875,0.5579,0.0579
300,96,9.673e-07,4.613e-06,4.769e+00,1.981e-06,1.206e-03,0.2875,0.5579,0.0579
300,100,6.269e-08,4.665e-06,7.441e+01,1.792e-06,1.349e-03,0.2875,0.5579,0.0579
300,101,1.354e-07,4.663e-06,3.443e+01,1.792e-06,1.348e-03,0.2875,0.5579,0.0579
300,105,7.865e-07,4.642e-06,5.901e+00,1.888e-06,1.289e-03,0.2875,0.5579,0.0579
300,106,2.084e-06,4.603e-06,2.208e+00,2.130e-06,1.151e-03,0.2875,0.5579,0.0579
300,124,1.011e-06,4.635e-06,4.583e+00,1.921e-06,1.274e-03,0.2875,0.5579,0.0579
300,125,1.864e-06,4.598e-06,2.466e+00,2.149e-06,1.157e-03,0.2875,0.5579,0.0579
300,129,2.539e-06,4.588e-06,1.807e+00,2.556e-06,1.064e-03,0.2875,0.5579,0.0579
300,130,5.957e-06,4.513e-06,7.577e-01,3.905e-06,6.879e-04,0.2875,0.5579,0.0579
300,134,3.730e-06,4.562e-06,1.223e+00,3.222e-06,9.462e-04,0.2875,0.5579,0.0579
300,135,8.378e-06,4.483e-06,5.351e-01,5.946e-06,5.216e-04,0.2875,0.5579,0.0579
300,139,5.136e-07,4.648e-06,9.049e+00,1.854e-06,1.307e-03,0.2875,0.5579,0.0579
300,140,1.146e-06,4.624e-06,4.034e+00,1.984e-06,1.234e-03,0.2875,0.5579,0.0579
400,22,1.537e-07,5.400e-06,3.514e+01,2.211e-06,1.283e-03,0.3318,0.5305,0.0305
400,23,3.574e-07,5.399e-06,1.510e+01,2.217e-06,1.273e-03,0.3318,0.5305,0.0305
400,27,2.657e-06,5.323e-06,2.003e+00,3.231e-06,1.006e-03,0.3318,0.5305,0.0305
400,28,6.063e-06,5.225e-06,8.618e-01,5.207e-06,6.558e-04,0.3318,0.5305,0.0305
400,32,2.644e-07,5.399e-06,2.042e+01,2.222e-06,1.279e-03,0.3318,0.5305,0.0305
400,33,5.465e-07,5.396e-06,9.873e+00,2.247e-06,1.261e-03,0.3318,0.5305,0.0305
400,37,3.015e-06,5.318e-06,1.764e+00,3.399e-06,9.689e-04,0.3318,0.5305,0.0305
400,38,7.059e-06,5.212e-06,7.383e-01,5.766e-06,5.875e-04,0.3318,0.5305,0.0305
400,56,1.864e-07,5.400e-06,2.896e+01,2.217e-06,1.282e-03,0.3318,0.5305,0.0305
400,57,4.020e-07,5.398e-06,1.343e+01,2.233e-06,1.273e-03,0.3318,0.5305,0.0305
400,61,3.550e-06,5.307e-06,1.495e+00,3.660e-06,9.350e-04,0.3318,0.5305,0.0305
400,62,6.746e-06,5.210e-06,7.722e-01,5.827e-06,5.649e-04,0.3318,0.5305,0.0305
400,66,1.480e-06,5.366e-06,3.625e+00,2.567e-06,1.147e-03,0.3318,0.5305,0.0305
400,67,2.934e-06,5.313e-06,1.811e+00,3.235e-06,9.344e-04,0.3318,0.5305,0.0305
400,71,1.166e-06,5.371e-06,4.608e+00,2.493e-06,1.160e-03,0.3318,0.5305,0.0305
400,72,2.565e-06,5.320e-06,2.074e+00,3.082e-06,9.503e-04,0.3318,0.5305,0.0305
400,90,4.539e-06,5.280e-06,1.163e+00,4.424e-06,8.295e-04,0.3318,0.5305,0.0305
400,91,9.459e-06,5.181e-06,5.478e-01,7.495e-06,4.679e-04,0.3318,0.5305,0.0305
400,95,5.065e-07,5.393e-06,1.065e+01,2.267e-06,1.255e-03,0.3318,0.5305,0.0305
400,96,1.010e-06,5.377e-06,5.325e+00,2.370e-06,1.185e-03,0.3318,0.5305,0.0305
400,100,4.592e-08,5.400e-06,1.176e+02,2.211e-06,1.286e-03,0.3318,0.5305,0.0305
400,101,1.150e-07,5.400e-06,4.697e+01,2.211e-06,1.285e-03,0.3318,0.5305,0.0305
400,105,5.380e-07,5.391e-06,1.002e+01,2.292e-06,1.246e-03,0.3318,0.5305,0.0305
400,106,1.191e-06,5.366e-06,4.505e+00,2.498e-06,1.144e-03,0.3318,0.5305,0.0305
400,124,6.183e-07,5.388e-06,8.715e+00,2.324e-06,1.231e-03,0.3318,0.5305,0.0305
400,125,1.336e-06,5.365e-06,4.017e+00,2.524e-06,1.136e-03,0.3318,0.5305,0.0305
400,129,2.136e-06,5.347e-06,2.503e+00,2.894e-06,1.075e-03,0.3318,0.5305,0.0305
400,130,4.728e-06,5.265e-06,1.114e+00,4.143e-06,7.548e-04,0.3318,0.5305,0.0305
400,134,3.025e-06,5.322e-06,1.759e+00,3.518e-06,9.807e-04,0.3318,0.5305,0.0305
