step,layer_idx,layer_name,mean,std,min,max,frac_active,num_neurons
500,22,ElasticLinear,-0.1270,0.0195,-0.1411,-0.0124,0.0000,768
500,23,ElasticLinear,-0.1008,0.0319,-0.1386,0.0006,0.0104,192
500,27,ElasticLinear,0.0931,0.1693,-0.1165,0.6258,0.6120,768
500,28,ElasticLinear,0.2746,0.1629,-0.0371,0.6080,0.9948,192
500,32,ElasticLinear,-0.1159,0.0322,-0.1406,0.0527,0.0169,768
500,33,ElasticLinear,-0.0811,0.0423,-0.1317,0.0509,0.0625,192
500,37,ElasticLinear,0.1148,0.1574,-0.0968,0.6200,0.7188,768
500,38,ElasticLinear,0.3019,0.1416,0.0247,0.6377,1.0000,192
500,56,ElasticLinear,-0.1197,0.0271,-0.1410,0.0136,0.0091,768
500,57,ElasticLinear,-0.0858,0.0347,-0.1327,0.0176,0.0208,192
500,61,ElasticLinear,0.1302,0.1660,-0.1027,0.6546,0.7682,768
500,62,ElasticLinear,0.3014,0.1455,0.0287,0.5988,1.0000,192
500,66,ElasticLinear,-0.0008,0.1284,-0.1343,0.4573,0.3203,768
500,67,ElasticLinear,0.1346,0.1420,-0.0730,0.5356,0.8021,192
500,71,ElasticLinear,-0.0040,0.1218,-0.1202,0.4992,0.3438,768
500,72,ElasticLinear,0.1315,0.1236,-0.0660,0.4688,0.9062,192
500,90,ElasticLinear,0.1875,0.1639,-0.0855,0.6572,0.9180,768
500,91,ElasticLinear,0.3471,0.1335,0.0826,0.6490,1.0000,192
500,95,ElasticLinear,-0.0839,0.0632,-0.1365,0.2213,0.1029,768
500,96,ElasticLinear,-0.0134,0.0775,-0.1091,0.2637,0.3281,192
500,100,ElasticLinear,-0.1378,0.0033,-0.1406,-0.1188,0.0000,768
500,101,ElasticLinear,-0.1337,0.0052,-0.1395,-0.1153,0.0000,192
500,105,ElasticLinear,-0.0796,0.0720,-0.1378,0.3440,0.1185,768
500,106,ElasticLinear,0.0085,0.0953,-0.1129,0.2988,0.4323,192
500,124,ElasticLinear,-0.0731,0.0740,-0.1375,0.2811,0.1380,768
500,125,ElasticLinear,0.0108,0.0760,-0.1072,0.2361,0.4740,192
500,129,ElasticLinear,0.0470,0.1412,-0.1169,0.5809,0.4583,768
500,130,ElasticLinear,0.2128,0.1372,-0.0353,0.5569,0.9844,192
500,134,ElasticLinear,0.1127,0.1503,-0.0973,0.5563,0.7448,768
500,135,ElasticLinear,0.2952,0.1396,0.0481,0.5982,1.0000,192
500,139,ElasticLinear,-0.0820,0.0660,-0.1390,0.2357,0.1133,768
500,140,ElasticLinear,-0.0105,0.0760,-0.1156,0.2207,0.3438,192
1000,22,ElasticLinear,-0.1515,0.0244,-0.1707,-0.0106,0.0000,768
1000,23,ElasticLinear,-0.1226,0.0447,-0.1661,0.0394,0.0312,192
1000,27,ElasticLinear,0.0832,0.2274,-0.1850,0.8970,0.5026,768
1000,28,ElasticLinear,0.2810,0.2532,-0.0939,0.8308,0.8906,192
1000,32,ElasticLinear,-0.1409,0.0363,-0.1701,0.0659,0.0156,768
1000,33,ElasticLinear,-0.1043,0.0526,-0.1642,0.0623,0.0833,192
1000,37,ElasticLinear,0.1035,0.2151,-0.2352,0.8319,0.5964,768
1000,38,ElasticLinear,0.2983,0.2399,-0.1601,0.9018,0.8958,192
1000,56,ElasticLinear,-0.1452,0.0296,-0.1699,0.0227,0.0078,768
1000,57,ElasticLinear,-0.1106,0.0441,-0.1627,0.0227,0.0417,192
1000,61,ElasticLinear,0.1189,0.2264,-0.1839,0.8851,0.6237,768
1000,62,ElasticLinear,0.3022,0.2446,-0.1396,0.8376,0.9219,192
1000,66,ElasticLinear,-0.0204,0.1605,-0.1794,0.6407,0.2891,768
1000,67,ElasticLinear,0.1190,0.2029,-0.2243,0.7311,0.6667,192
1000,71,ElasticLinear,-0.0213,0.1637,-0.1753,0.6871,0.2669,768
1000,72,ElasticLinear,0.1185,0.1908,-0.1708,0.6654,0.6615,192
1000,90,ElasticLinear,0.1783,0.2343,-0.1974,0.9059,0.7344,768
1000,91,ElasticLinear,0.3435,0.2431,-0.1009,0.8749,0.9531,192
1000,95,ElasticLinear,-0.1063,0.0795,-0.1768,0.3256,0.0885,768
1000,96,ElasticLinear,-0.0301,0.1154,-0.1525,0.4352,0.2552,192
1000,100,ElasticLinear,-0.1633,0.0037,-0.1685,-0.1420,0.0000,768
1000,101,ElasticLinear,-0.1588,0.0068,-0.1682,-0.1332,0.0000,192
1000,105,ElasticLinear,-0.1030,0.0881,-0.1763,0.4748,0.0938,768
1000,106,ElasticLinear,-0.0096,0.1337,-0.1729,0.4149,0.3281,192
1000,124,ElasticLinear,-0.0977,0.0913,-0.1752,0.4083,0.1120,768
1000,125,ElasticLinear,-0.0107,0.1079,-0.1562,0.3343,0.3542,192
1000,129,ElasticLinear,0.0272,0.1844,-0.1985,0.8087,0.4049,768
1000,130,ElasticLinear,0.2012,0.2220,-0.1720,0.8134,0.8229,192
1000,134,ElasticLinear,0.0978,0.1953,-0.1972,0.7598,0.6003,768
1000,135,ElasticLinear,0.2815,0.2324,-0.1649,0.7999,0.9062,192
1000,139,ElasticLinear,-0.1062,0.0790,-0.1710,0.3439,0.0872,768
1000,140,ElasticLinear,-0.0339,0.0991,-0.1492,0.2903,0.2552,192
