step,train_loss,task_loss,val_loss,val_accuracy,lr
501,5.236119,5.185263,5.155756,0.019300,3.96e-05
1001,4.936390,4.885780,4.952722,0.030700,1.12e-04
1501,4.688627,4.637928,4.673072,0.055200,2.01e-04
2001,4.320156,4.269753,4.472006,0.077100,2.73e-04
2501,4.272689,4.222362,4.263038,0.104400,3.00e-04
3001,4.139129,4.088791,4.081651,0.124400,3.00e-04
3501,4.183786,4.133630,3.992831,0.139000,3.00e-04
4001,3.512280,3.462123,3.878583,0.155600,2.99e-04
4501,4.006208,3.956077,3.805929,0.167200,2.99e-04
5001,3.910255,3.860052,3.750491,0.169400,2.98e-04
5501,3.893386,3.843255,3.708333,0.185600,2.97e-04
6001,3.533466,3.483338,3.646902,0.193400,2.96e-04
6501,3.682496,3.632396,3.585209,0.200300,2.95e-04
7001,3.415144,3.365080,3.541911,0.209900,2.93e-04
7501,3.758126,3.707983,3.456575,0.222100,2.92e-04
8001,3.438986,3.388864,3.450747,0.223900,2.90e-04
8501,3.651139,3.601051,3.418519,0.231400,2.88e-04
9001,3.184215,3.134160,3.413660,0.233000,2.86e-04
9501,3.339021,3.288993,3.347035,0.244200,2.84e-04
10001,3.275635,3.225595,3.314164,0.252000,2.82e-04
10501,3.123570,3.073485,3.262082,0.258300,2.79e-04
11001,2.715419,2.665374,3.236840,0.257900,2.77e-04
11501,3.358453,3.308416,3.220310,0.266000,2.74e-04
12001,3.113212,3.063111,3.213728,0.271600,2.71e-04
12501,3.047404,2.997380,3.220880,0.265600,2.68e-04
13001,2.750602,2.700572,3.169809,0.276000,2.65e-04
13501,3.106287,3.056234,3.144325,0.282300,2.62e-04
14001,3.340424,3.290404,3.129163,0.286500,2.59e-04
14501,2.783249,2.733201,3.084497,0.291600,2.55e-04
15001,2.894584,2.844506,3.039547,0.295500,2.52e-04
15501,3.579621,3.529575,3.056960,0.300000,2.48e-04
16001,2.699836,2.649812,3.086641,0.293600,2.44e-04
16501,2.525380,2.475347,2.974522,0.313100,2.40e-04
17001,2.851194,2.801171,2.970444,0.312100,2.36e-04
17501,2.872280,2.822241,2.966415,0.319300,2.32e-04
18001,2.658177,2.608153,2.906521,0.323100,2.28e-04
18501,2.654616,2.604554,2.937244,0.322000,2.24e-04
19001,2.994236,2.944202,2.936803,0.318500,2.19e-04
19501,3.081922,3.031909,2.925406,0.323000,2.15e-04
20001,2.305385,2.255355,2.874323,0.335500,2.10e-04
20501,2.738235,2.688184,2.882349,0.330700,2.06e-04
21001,2.909475,2.859453,2.826372,0.342300,2.01e-04
21501,3.119589,3.069552,2.842262,0.341200,1.96e-04
22001,2.891883,2.841848,2.779273,0.353700,1.92e-04
22501,2.379288,2.329282,2.823859,0.341900,1.87e-04
23001,2.787937,2.737945,2.816340,0.349500,1.82e-04
23501,2.594269,2.544248,2.821697,0.341900,1.77e-04
24001,3.089418,3.039399,2.762900,0.353900,1.72e-04
24501,2.387836,2.337795,2.772600,0.354200,1.67e-04
25001,2.612928,2.562918,2.734806,0.358000,1.62e-04
25501,2.400317,2.350322,2.754413,0.357000,1.57e-04
26001,2.863980,2.813951,2.759365,0.352900,1.52e-04
26501,2.803491,2.753473,2.705842,0.364600,1.48e-04
27001,2.655427,2.605410,2.733565,0.358900,1.43e-04
27501,2.406136,2.356133,2.696121,0.366800,1.38e-04
28001,2.563687,2.513674,2.686737,0.365600,1.33e-04
28501,2.415968,2.365957,2.698929,0.369200,1.28e-04
29001,2.707909,2.657900,2.672490,0.372800,1.23e-04
29501,2.708614,2.658610,2.660039,0.377500,1.18e-04
30001,2.460735,2.410736,2.642358,0.379300,1.13e-04
30501,2.474869,2.424879,2.639028,0.381000,1.08e-04
31001,2.192152,2.142130,2.637203,0.375300,1.04e-04
31501,2.564136,2.514129,2.619548,0.380000,9.89e-05
32001,2.602840,2.552830,2.640137,0.379700,9.43e-05
32501,2.729367,2.679351,2.628212,0.382900,8.97e-05
33001,2.259062,2.209049,2.627172,0.382800,8.52e-05
33501,2.705429,2.655413,2.652291,0.384200,8.08e-05
34001,1.961793,1.911790,2.615284,0.384100,7.64e-05
34501,2.409234,2.359229,2.604885,0.385600,7.21e-05
35001,2.346095,2.296083,2.623775,0.382600,6.79e-05
35501,2.104017,2.054004,2.609542,0.386000,6.38e-05
36001,2.580440,2.530429,2.606364,0.385800,5.98e-05
36501,2.395037,2.345028,2.616391,0.384800,5.59e-05
37001,2.527676,2.477684,2.600938,0.385300,5.21e-05
37501,2.282364,2.232378,2.602592,0.385700,4.84e-05
38001,2.752382,2.702387,2.615500,0.383000,4.48e-05
38501,2.308469,2.258465,2.603277,0.384200,4.13e-05
39001,2.318450,2.268450,2.611803,0.386000,3.80e-05
39501,2.349819,2.299808,2.621528,0.383300,3.47e-05
40001,2.838708,2.788690,2.611148,0.386900,3.16e-05
40501,2.471505,2.421508,2.611318,0.385200,2.86e-05
41001,2.184167,2.134166,2.597933,0.388100,2.58e-05
41501,2.473054,2.423049,2.599333,0.389100,2.31e-05
42001,2.390653,2.340634,2.590368,0.387700,2.05e-05
42501,2.304233,2.254230,2.587447,0.390200,1.81e-05
43001,2.262844,2.212830,2.583220,0.390800,1.58e-05
43501,2.625534,2.575523,2.583013,0.390400,1.36e-05
44001,2.702074,2.652067,2.576991,0.390800,1.17e-05
44501,2.195189,2.145183,2.577761,0.392800,9.81e-06
45001,2.739930,2.689932,2.570984,0.397000,8.12e-06
45501,2.569931,2.519929,2.568241,0.393400,6.59e-06
46001,2.504414,2.454406,2.570742,0.391800,5.21e-06
46501,2.076687,2.026684,2.565563,0.393500,4.00e-06
47001,2.574724,2.524718,2.564994,0.394500,2.94e-06
47501,2.126289,2.076288,2.563043,0.395000,2.04e-06
48001,2.542151,2.492146,2.562296,0.394500,1.31e-06
48501,2.168269,2.118270,2.563664,0.394900,7.37e-07
49001,1.993374,1.943370,2.563524,0.395200,3.28e-07
49501,2.596444,2.546439,2.563417,0.395000,8.26e-08
