step,layer_idx,layer_name,mean,std,min,max,frac_active,num_neurons
500,22,ElasticLinear,0.0917,0.1502,-0.1179,0.5207,0.6185,768
500,23,ElasticLinear,0.2650,0.1313,0.0094,0.5596,1.0000,192
500,27,ElasticLinear,0.0020,0.1268,-0.1346,0.4933,0.3229,768
500,28,ElasticLinear,0.1696,0.1346,-0.0628,0.4624,0.8906,192
500,32,ElasticLinear,-0.1136,0.0337,-0.1392,0.0870,0.0195,768
500,33,ElasticLinear,-0.0683,0.0451,-0.1249,0.0873,0.0677,192
500,37,ElasticLinear,0.0319,0.1323,-0.1239,0.4700,0.4388,768
500,38,ElasticLinear,0.1913,0.1298,-0.0492,0.5222,0.9635,192
500,56,ElasticLinear,-0.0192,0.1105,-0.1298,0.3831,0.3073,768
500,57,ElasticLinear,0.1230,0.1176,-0.0912,0.4622,0.8385,192
500,61,ElasticLinear,-0.1399,0.0005,-0.1406,-0.1355,0.0000,768
500,62,ElasticLinear,-0.1391,0.0013,-0.1407,-0.1331,0.0000,192
500,66,ElasticLinear,-0.1324,0.0130,-0.1409,-0.0642,0.0000,768
500,67,ElasticLinear,-0.1197,0.0164,-0.1401,-0.0674,0.0000,192
500,71,ElasticLinear,0.1567,0.1482,-0.1118,0.5702,0.8802,768
500,72,ElasticLinear,0.3178,0.1167,0.0441,0.6008,1.0000,192
500,90,ElasticLinear,-0.1071,0.0385,-0.1387,0.1250,0.0260,768
500,91,ElasticLinear,-0.0569,0.0529,-0.1230,0.0850,0.1771,192
500,95,ElasticLinear,0.1302,0.1485,-0.0868,0.5536,0.8060,768
500,96,ElasticLinear,0.2968,0.1235,0.0341,0.5825,1.0000,192
500,100,ElasticLinear,-0.1395,0.0013,-0.1412,-0.1309,0.0000,768
500,101,ElasticLinear,-0.1380,0.0020,-0.1407,-0.1297,0.0000,192
500,105,ElasticLinear,0.0561,0.1421,-0.1197,0.5212,0.4857,768
500,106,ElasticLinear,0.2294,0.1233,0.0005,0.5135,1.0000,192
500,124,ElasticLinear,0.0950,0.1533,-0.1184,0.5632,0.6641,768
500,125,ElasticLinear,0.2682,0.1283,-0.0046,0.5679,0.9948,192
500,129,ElasticLinear,-0.0387,0.1002,-0.1354,0.3552,0.2565,768
500,130,ElasticLinear,0.0804,0.0973,-0.0901,0.3356,0.7500,192
500,134,ElasticLinear,-0.1280,0.0187,-0.1410,-0.0315,0.0000,768
500,135,ElasticLinear,-0.1066,0.0224,-0.1337,-0.0384,0.0000,192
500,139,ElasticLinear,0.0724,0.1461,-0.1195,0.5066,0.5417,768
500,140,ElasticLinear,0.2509,0.1326,-0.0145,0.5629,0.9896,192
1000,22,ElasticLinear,0.0793,0.1851,-0.1555,0.6973,0.5456,768
1000,23,ElasticLinear,0.2586,0.1989,-0.1315,0.7133,0.9115,192
1000,27,ElasticLinear,-0.0192,0.1449,-0.1699,0.6280,0.2773,768
1000,28,ElasticLinear,0.1517,0.1751,-0.1064,0.5848,0.7708,192
1000,32,ElasticLinear,-0.1356,0.0366,-0.1694,0.0748,0.0169,768
1000,33,ElasticLinear,-0.0889,0.0564,-0.1623,0.1154,0.0781,192
1000,37,ElasticLinear,0.0196,0.1667,-0.1669,0.6635,0.4102,768
1000,38,ElasticLinear,0.1915,0.1948,-0.1368,0.7225,0.8490,192
1000,56,ElasticLinear,-0.0378,0.1298,-0.1696,0.5277,0.2526,768
1000,57,ElasticLinear,0.1095,0.1601,-0.1276,0.6419,0.6823,192
1000,61,ElasticLinear,-0.1621,0.0006,-0.1628,-0.1576,0.0000,768
1000,62,ElasticLinear,-0.1613,0.0013,-0.1629,-0.1546,0.0000,192
1000,66,ElasticLinear,-0.1542,0.0148,-0.1658,-0.0647,0.0000,768
1000,67,ElasticLinear,-0.1406,0.0187,-0.1615,-0.0835,0.0000,192
1000,71,ElasticLinear,0.1474,0.1984,-0.1804,0.7705,0.7396,768
1000,72,ElasticLinear,0.3109,0.1975,-0.1162,0.8011,0.9583,192
1000,90,ElasticLinear,-0.1290,0.0428,-0.1717,0.1864,0.0208,768
1000,91,ElasticLinear,-0.0765,0.0609,-0.1545,0.0975,0.1510,192
