step,train_loss,task_loss,val_loss,val_accuracy,lr
501,4.367771,4.317521,4.317176,0.049000,3.96e-05
1001,4.084198,4.033491,3.994690,0.088100,1.12e-04
1501,3.646486,3.595881,3.649381,0.137900,2.01e-04
2001,3.492488,3.442185,3.343193,0.189700,2.73e-04
2501,2.930770,2.880588,3.125658,0.226600,3.00e-04
3001,3.395732,3.345548,2.969015,0.256200,3.00e-04
3501,2.911170,2.861056,2.801944,0.289900,3.00e-04
4001,2.494187,2.444049,2.709853,0.307000,2.99e-04
4501,2.293169,2.242974,2.682709,0.310400,2.99e-04
5001,2.629004,2.578884,2.549125,0.342500,2.98e-04
5501,2.375900,2.325766,2.456858,0.357600,2.97e-04
6001,2.264542,2.214425,2.472742,0.353700,2.96e-04
6501,2.475311,2.425219,2.379139,0.374600,2.95e-04
7001,2.424074,2.374020,2.275011,0.394900,2.93e-04
7501,2.349055,2.299008,2.231422,0.408200,2.92e-04
8001,2.648443,2.598359,2.167176,0.422100,2.90e-04
8501,1.963911,1.913738,2.210941,0.415400,2.88e-04
9001,2.143554,2.093472,2.138587,0.428500,2.86e-04
9501,1.711926,1.661884,2.060717,0.446500,2.84e-04
10001,1.876861,1.826827,2.075340,0.443600,2.82e-04
10501,1.894490,1.844437,2.009717,0.458800,2.79e-04
11001,2.190084,2.140002,2.038060,0.451100,2.77e-04
11501,1.750050,1.700025,1.974336,0.466300,2.74e-04
12001,2.034820,1.984780,1.934457,0.475800,2.71e-04
12501,2.060926,2.010833,1.933498,0.469800,2.68e-04
13001,1.732874,1.682772,1.956394,0.476500,2.65e-04
13501,1.479221,1.429179,1.895446,0.490200,2.62e-04
14001,2.006313,1.956272,1.913696,0.483100,2.59e-04
14501,1.512691,1.462625,1.840668,0.498300,2.55e-04
15001,2.142258,2.092218,1.848658,0.498300,2.52e-04
15501,1.559161,1.509083,1.802957,0.506000,2.48e-04
16001,1.748603,1.698580,1.776892,0.517300,2.44e-04
16501,1.410559,1.360556,1.778234,0.520800,2.40e-04
17001,1.532683,1.482664,1.754675,0.522000,2.36e-04
17501,1.695850,1.645844,1.752307,0.527400,2.32e-04
18001,2.030250,1.980241,1.734629,0.527200,2.28e-04
18501,1.358770,1.308751,1.731734,0.533500,2.24e-04
19001,1.565057,1.515032,1.720030,0.535500,2.19e-04
19501,1.518736,1.468725,1.712333,0.533900,2.15e-04
20001,1.277351,1.227322,1.682594,0.540600,2.10e-04
20501,1.907232,1.857231,1.712840,0.535100,2.06e-04
21001,1.344289,1.294262,1.661806,0.547100,2.01e-04
21501,1.277301,1.227280,1.701866,0.539700,1.96e-04
22001,1.592168,1.542139,1.667385,0.549800,1.92e-04
22501,1.545525,1.495507,1.664596,0.548100,1.87e-04
23001,1.246089,1.196036,1.655210,0.548900,1.82e-04
23501,1.359278,1.309260,1.678650,0.544400,1.77e-04
24001,1.540690,1.490639,1.666089,0.551400,1.72e-04
24501,1.616234,1.566199,1.672153,0.549700,1.67e-04
25001,1.233091,1.183068,1.627398,0.564600,1.62e-04
25501,1.209113,1.159099,1.614013,0.565100,1.57e-04
26001,1.653252,1.603212,1.632786,0.564200,1.52e-04
26501,0.875648,0.825634,1.627285,0.561500,1.48e-04
27001,1.171668,1.121646,1.581967,0.572200,1.43e-04
27501,1.333757,1.283746,1.614296,0.571800,1.38e-04
28001,0.911481,0.861453,1.608416,0.573100,1.33e-04
28501,1.422675,1.372668,1.618524,0.569600,1.28e-04
29001,1.230666,1.180657,1.600622,0.576100,1.23e-04
29501,1.008029,0.957999,1.612078,0.570300,1.18e-04
30001,0.877580,0.827567,1.601759,0.577200,1.13e-04
30501,1.091539,1.041523,1.593745,0.574400,1.08e-04
31001,1.047966,0.997951,1.607579,0.576900,1.04e-04
31501,1.111544,1.061528,1.597882,0.579000,9.89e-05
32001,0.890017,0.840005,1.598023,0.577900,9.43e-05
32501,0.944087,0.894082,1.594668,0.581700,8.97e-05
33001,0.615034,0.565030,1.566880,0.587900,8.52e-05
33501,0.844139,0.794144,1.602639,0.581800,8.08e-05
34001,0.765297,0.715284,1.597977,0.586100,7.64e-05
34501,0.772553,0.722546,1.589106,0.585100,7.21e-05
35001,0.863479,0.813475,1.572520,0.590500,6.79e-05
35501,0.683077,0.633085,1.611128,0.580900,6.38e-05
36001,0.756041,0.706040,1.580664,0.592800,5.98e-05
36501,0.902631,0.852630,1.593676,0.591000,5.59e-05
