step,layer_idx,layer_name,mean,std,min,max,frac_active,num_neurons
500,22,ElasticLinear,0.1337,0.1669,-0.0943,0.6505,0.7669,768
500,23,ElasticLinear,0.3107,0.1502,0.0276,0.6157,1.0000,192
500,27,ElasticLinear,-0.1405,0.0000,-0.1405,-0.1405,0.0000,768
500,28,ElasticLinear,-0.1405,0.0000,-0.1405,-0.1405,0.0000,192
500,32,ElasticLinear,-0.1308,0.0143,-0.1416,-0.0609,0.0000,768
500,33,ElasticLinear,-0.1121,0.0209,-0.1396,-0.0472,0.0000,192
500,37,ElasticLinear,0.0377,0.1407,-0.1262,0.5559,0.4570,768
500,38,ElasticLinear,0.2048,0.1518,-0.0325,0.5744,0.9167,192
500,56,ElasticLinear,-0.0815,0.0650,-0.1388,0.2211,0.1289,768
500,57,ElasticLinear,0.0079,0.0738,-0.1051,0.2034,0.4635,192
500,61,ElasticLinear,0.1117,0.1570,-0.0968,0.6073,0.7044,768
500,62,ElasticLinear,0.2833,0.1405,0.0468,0.5913,1.0000,192
500,66,ElasticLinear,0.0584,0.1439,-0.1155,0.5619,0.5078,768
500,67,ElasticLinear,0.2140,0.1474,-0.0355,0.5847,0.9583,192
500,71,ElasticLinear,-0.1134,0.0478,-0.1418,0.1653,0.0495,768
500,72,ElasticLinear,-0.0586,0.0694,-0.1379,0.1562,0.1771,192
500,90,ElasticLinear,-0.0022,0.1253,-0.1368,0.5573,0.3125,768
500,91,ElasticLinear,0.1619,0.1359,-0.0623,0.4887,0.8958,192
500,95,ElasticLinear,-0.0584,0.0870,-0.1396,0.3129,0.1940,768
500,96,ElasticLinear,0.0488,0.0959,-0.0984,0.3174,0.6198,192
500,100,ElasticLinear,0.1353,0.1580,-0.0915,0.6383,0.8190,768
500,101,ElasticLinear,0.3211,0.1333,0.0769,0.6321,1.0000,192
500,105,ElasticLinear,-0.1405,0.0001,-0.1408,-0.1397,0.0000,768
500,106,ElasticLinear,-0.1404,0.0001,-0.1407,-0.1399,0.0000,192
500,124,ElasticLinear,-0.0649,0.0792,-0.1355,0.2970,0.1771,768
500,125,ElasticLinear,0.0359,0.0899,-0.0805,0.3098,0.5312,192
500,129,ElasticLinear,0.1219,0.1636,-0.0925,0.6062,0.7266,768
500,130,ElasticLinear,0.3002,0.1427,-0.0019,0.6089,0.9948,192
500,134,ElasticLinear,-0.1034,0.0449,-0.1415,0.1128,0.0521,768
500,135,ElasticLinear,-0.0520,0.0511,-0.1341,0.0985,0.1615,192
500,139,ElasticLinear,0.0294,0.1380,-0.1242,0.5164,0.4115,768
500,140,ElasticLinear,0.1991,0.1360,-0.0564,0.5034,0.9583,192
1000,22,ElasticLinear,0.1268,0.2349,-0.1808,0.9162,0.6211,768
1000,23,ElasticLinear,0.3169,0.2542,-0.1271,0.8338,0.8906,192
1000,27,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,768
1000,28,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,192
1000,32,ElasticLinear,-0.1517,0.0156,-0.1628,-0.0761,0.0000,768
1000,33,ElasticLinear,-0.1325,0.0239,-0.1632,-0.0652,0.0000,192
1000,37,ElasticLinear,0.0247,0.1781,-0.1855,0.7534,0.4049,768
1000,38,ElasticLinear,0.1922,0.2233,-0.1249,0.7876,0.7865,192
1000,56,ElasticLinear,-0.1012,0.0765,-0.1703,0.2875,0.1094,768
1000,57,ElasticLinear,-0.0091,0.0983,-0.1459,0.2992,0.3542,192
1000,61,ElasticLinear,0.1032,0.2080,-0.1904,0.8158,0.5990,768
1000,62,ElasticLinear,0.2822,0.2279,-0.1161,0.7716,0.9219,192
1000,66,ElasticLinear,0.0464,0.1943,-0.1859,0.8069,0.4466,768
1000,67,ElasticLinear,0.2087,0.2359,-0.1143,0.8362,0.8021,192
1000,71,ElasticLinear,-0.1324,0.0602,-0.1817,0.2421,0.0521,768
1000,72,ElasticLinear,-0.0743,0.0864,-0.1641,0.1733,0.1719,192
1000,90,ElasticLinear,-0.0190,0.1537,-0.1822,0.7687,0.2956,768
1000,91,ElasticLinear,0.1541,0.1914,-0.1212,0.6705,0.7969,192
1000,95,ElasticLinear,-0.0789,0.1054,-0.1837,0.4819,0.1406,768
1000,96,ElasticLinear,0.0307,0.1320,-0.1480,0.4289,0.5000,192
1000,100,ElasticLinear,0.1239,0.2152,-0.1863,0.8636,0.6523,768
1000,101,ElasticLinear,0.3190,0.2319,-0.1392,0.8447,0.9583,192
1000,105,ElasticLinear,-0.1614,0.0001,-0.1618,-0.1605,0.0000,768
1000,106,ElasticLinear,-0.1613,0.0002,-0.1619,-0.1606,0.0000,192
1000,124,ElasticLinear,-0.0841,0.0995,-0.1797,0.4699,0.1484,768
1000,125,ElasticLinear,0.0186,0.1297,-0.1554,0.4656,0.4219,192
1000,129,ElasticLinear,0.1142,0.2155,-0.1716,0.8339,0.5938,768
1000,130,ElasticLinear,0.3026,0.2229,-0.1001,0.8140,0.9323,192
1000,134,ElasticLinear,-0.1242,0.0506,-0.1629,0.1649,0.0417,768
1000,135,ElasticLinear,-0.0722,0.0618,-0.1523,0.1373,0.1250,192
1000,139,ElasticLinear,0.0173,0.1755,-0.1739,0.7064,0.3646,768
1000,140,ElasticLinear,0.2021,0.2083,-0.1197,0.7121,0.8438,192
1500,22,ElasticLinear,0.1331,0.3242,-0.3969,1.1941,0.5768,768
1500,23,ElasticLinear,0.3290,0.3727,-0.3725,1.0818,0.8073,192
1500,27,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,768
1500,28,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,192
1500,32,ElasticLinear,-0.1516,0.0206,-0.2016,-0.0500,0.0000,768
1500,33,ElasticLinear,-0.1317,0.0339,-0.2059,-0.0375,0.0000,192
1500,37,ElasticLinear,0.0298,0.2401,-0.4494,0.9831,0.4271,768
1500,38,ElasticLinear,0.1920,0.3159,-0.3336,1.0046,0.6562,192
1500,56,ElasticLinear,-0.1001,0.1021,-0.2987,0.4368,0.1237,768
1500,57,ElasticLinear,-0.0063,0.1474,-0.2838,0.4366,0.3594,192
1500,61,ElasticLinear,0.1104,0.2845,-0.4030,1.0648,0.5716,768
1500,62,ElasticLinear,0.2919,0.3345,-0.3981,0.9828,0.7812,192
1500,66,ElasticLinear,0.0501,0.2650,-0.3516,1.0732,0.4596,768
1500,67,ElasticLinear,0.2137,0.3430,-0.3568,1.0994,0.6458,192
1500,71,ElasticLinear,-0.1307,0.0806,-0.2520,0.3581,0.0651,768
1500,72,ElasticLinear,-0.0698,0.1206,-0.3060,0.2659,0.2240,192
1500,90,ElasticLinear,-0.0170,0.2022,-0.4146,1.0028,0.3177,768
1500,91,ElasticLinear,0.1601,0.2675,-0.2277,0.8723,0.6719,192
1500,95,ElasticLinear,-0.0800,0.1431,-0.3999,0.6838,0.1602,768
1500,96,ElasticLinear,0.0308,0.1956,-0.3401,0.5562,0.4948,192
1500,100,ElasticLinear,0.1264,0.2966,-0.4045,1.1012,0.5990,768
1500,101,ElasticLinear,0.3267,0.3450,-0.4394,1.0883,0.8073,192
1500,105,ElasticLinear,-0.1614,0.0002,-0.1623,-0.1601,0.0000,768
1500,106,ElasticLinear,-0.1613,0.0004,-0.1632,-0.1598,0.0000,192
1500,124,ElasticLinear,-0.0826,0.1377,-0.3359,0.6727,0.1654,768
1500,125,ElasticLinear,0.0220,0.1936,-0.4024,0.6593,0.4479,192
1500,129,ElasticLinear,0.1237,0.2908,-0.4288,1.0779,0.5846,768
1500,130,ElasticLinear,0.3196,0.3209,-0.3645,1.0441,0.8333,192
1500,134,ElasticLinear,-0.1245,0.0638,-0.2242,0.2647,0.0521,768
1500,135,ElasticLinear,-0.0716,0.0884,-0.1958,0.2120,0.1667,192
1500,139,ElasticLinear,0.0238,0.2340,-0.4039,0.9425,0.4036,768
1500,140,ElasticLinear,0.2179,0.3026,-0.2858,0.9458,0.7396,192
2000,22,ElasticLinear,0.1371,0.4247,-0.6517,1.4616,0.5456,768
2000,23,ElasticLinear,0.3414,0.4915,-0.6385,1.3192,0.7135,192
2000,27,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,768
2000,28,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,192
2000,32,ElasticLinear,-0.1514,0.0300,-0.2612,-0.0038,0.0000,768
2000,33,ElasticLinear,-0.1302,0.0516,-0.2718,0.0075,0.0365,192
2000,37,ElasticLinear,0.0343,0.3171,-0.7398,1.2155,0.4466,768
2000,38,ElasticLinear,0.1916,0.4163,-0.5654,1.2076,0.6094,192
2000,56,ElasticLinear,-0.0992,0.1391,-0.4930,0.5928,0.1380,768
2000,57,ElasticLinear,-0.0038,0.2096,-0.4784,0.5786,0.4115,192
2000,61,ElasticLinear,0.1179,0.3739,-0.6573,1.2984,0.5547,768
2000,62,ElasticLinear,0.3029,0.4450,-0.6867,1.1946,0.7396,192
2000,66,ElasticLinear,0.0531,0.3526,-0.5880,1.3297,0.4688,768
2000,67,ElasticLinear,0.2164,0.4583,-0.6110,1.3628,0.6302,192
2000,71,ElasticLinear,-0.1291,0.1109,-0.3919,0.5022,0.0898,768
2000,72,ElasticLinear,-0.0642,0.1715,-0.4822,0.3842,0.2604,192
2000,90,ElasticLinear,-0.0152,0.2690,-0.6909,1.2363,0.3477,768
2000,91,ElasticLinear,0.1682,0.3541,-0.4403,1.0868,0.5990,192
2000,95,ElasticLinear,-0.0814,0.1953,-0.6426,0.8841,0.1979,768
2000,96,ElasticLinear,0.0328,0.2766,-0.5908,0.7096,0.5000,192
2000,100,ElasticLinear,0.1278,0.3897,-0.6678,1.3179,0.5755,768
2000,101,ElasticLinear,0.3362,0.4579,-0.7183,1.3119,0.7500,192
2000,105,ElasticLinear,-0.1614,0.0003,-0.1633,-0.1591,0.0000,768
2000,106,ElasticLinear,-0.1613,0.0007,-0.1645,-0.1591,0.0000,192
2000,124,ElasticLinear,-0.0811,0.1933,-0.5519,0.9029,0.2018,768
2000,125,ElasticLinear,0.0263,0.2744,-0.6760,0.8726,0.4531,192
2000,129,ElasticLinear,0.1313,0.3751,-0.6809,1.2995,0.5690,768
2000,130,ElasticLinear,0.3347,0.4184,-0.6175,1.2518,0.7708,192
2000,134,ElasticLinear,-0.1249,0.0879,-0.3980,0.3990,0.0625,768
2000,135,ElasticLinear,-0.0710,0.1319,-0.3488,0.3151,0.2552,192
2000,139,ElasticLinear,0.0308,0.3096,-0.6501,1.1799,0.4323,768
2000,140,ElasticLinear,0.2360,0.4056,-0.5393,1.1806,0.6719,192
2500,22,ElasticLinear,0.1395,0.5355,-0.9222,1.7341,0.5273,768
2500,23,ElasticLinear,0.3521,0.6158,-0.9123,1.5677,0.6771,192
2500,27,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,768
2500,28,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,192
2500,32,ElasticLinear,-0.1510,0.0435,-0.3471,0.0595,0.0221,768
2500,33,ElasticLinear,-0.1280,0.0750,-0.3593,0.0700,0.0573,192
2500,37,ElasticLinear,0.0391,0.4072,-1.0422,1.4441,0.4661,768
2500,38,ElasticLinear,0.1914,0.5216,-0.8041,1.4232,0.5990,192
2500,56,ElasticLinear,-0.0978,0.1859,-0.7075,0.7585,0.1771,768
2500,57,ElasticLinear,-0.0004,0.2825,-0.6804,0.7396,0.4219,192
2500,61,ElasticLinear,0.1227,0.4747,-0.9627,1.5317,0.5573,768
2500,62,ElasticLinear,0.3142,0.5597,-0.9727,1.4109,0.6875,192
2500,66,ElasticLinear,0.0540,0.4526,-0.8285,1.5889,0.4831,768
2500,67,ElasticLinear,0.2198,0.5794,-0.8751,1.6269,0.5990,192
2500,71,ElasticLinear,-0.1268,0.1465,-0.5272,0.6480,0.1133,768
2500,72,ElasticLinear,-0.0561,0.2315,-0.6794,0.5140,0.3385,192
2500,90,ElasticLinear,-0.0130,0.3468,-0.9627,1.4693,0.3867,768
2500,91,ElasticLinear,0.1769,0.4466,-0.6640,1.3130,0.5729,192
2500,95,ElasticLinear,-0.0830,0.2592,-0.9030,1.0924,0.2591,768
2500,96,ElasticLinear,0.0342,0.3653,-0.8280,0.8647,0.5052,192
2500,100,ElasticLinear,0.1275,0.4931,-0.9327,1.5545,0.5638,768
2500,101,ElasticLinear,0.3454,0.5766,-1.0220,1.5617,0.6927,192
2500,105,ElasticLinear,-0.1614,0.0006,-0.1637,-0.1585,0.0000,768
2500,106,ElasticLinear,-0.1612,0.0012,-0.1663,-0.1567,0.0000,192
2500,124,ElasticLinear,-0.0803,0.2590,-0.7862,1.1138,0.2591,768
2500,125,ElasticLinear,0.0289,0.3641,-0.9654,1.0761,0.4688,192
2500,129,ElasticLinear,0.1380,0.4711,-0.9624,1.5414,0.5612,768
2500,130,ElasticLinear,0.3539,0.5202,-0.8705,1.4658,0.7396,192
2500,134,ElasticLinear,-0.1253,0.1256,-0.5859,0.5614,0.0911,768
2500,135,ElasticLinear,-0.0683,0.1967,-0.5131,0.4467,0.3125,192
2500,139,ElasticLinear,0.0376,0.3964,-0.9156,1.4179,0.4661,768
2500,140,ElasticLinear,0.2547,0.5157,-0.7655,1.4222,0.6406,192
3000,22,ElasticLinear,0.1413,0.6501,-1.1836,2.0060,0.5182,768
3000,23,ElasticLinear,0.3667,0.7371,-1.1763,1.7921,0.6667,192
3000,27,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,768
3000,28,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,192
3000,32,ElasticLinear,-0.1505,0.0611,-0.4395,0.1403,0.0312,768
3000,33,ElasticLinear,-0.1247,0.1057,-0.4498,0.1453,0.1562,192
3000,37,ElasticLinear,0.0431,0.5051,-1.3499,1.6777,0.4818,768
3000,38,ElasticLinear,0.1929,0.6312,-1.0566,1.6268,0.5677,192
3000,56,ElasticLinear,-0.0963,0.2420,-0.9246,0.9530,0.2188,768
3000,57,ElasticLinear,0.0051,0.3626,-0.8588,0.9083,0.4427,192
3000,61,ElasticLinear,0.1288,0.5808,-1.2491,1.7660,0.5495,768
3000,62,ElasticLinear,0.3282,0.6751,-1.2509,1.6225,0.6562,192
3000,66,ElasticLinear,0.0556,0.5599,-1.0592,1.8414,0.4948,768
3000,67,ElasticLinear,0.2273,0.7024,-1.1468,1.8901,0.5833,192
3000,71,ElasticLinear,-0.1255,0.1898,-0.6923,0.8008,0.1562,768
3000,72,ElasticLinear,-0.0497,0.3005,-0.8763,0.6567,0.3646,192
3000,90,ElasticLinear,-0.0108,0.4347,-1.2665,1.7072,0.4193,768
3000,91,ElasticLinear,0.1876,0.5441,-0.8880,1.5307,0.5625,192
3000,95,ElasticLinear,-0.0853,0.3310,-1.1668,1.3110,0.3060,768
3000,96,ElasticLinear,0.0370,0.4624,-1.0748,1.0351,0.5208,192
3000,100,ElasticLinear,0.1268,0.6012,-1.2189,1.7808,0.5560,768
3000,101,ElasticLinear,0.3578,0.6946,-1.2929,1.7950,0.6823,192
3000,105,ElasticLinear,-0.1613,0.0009,-0.1651,-0.1572,0.0000,768
3000,106,ElasticLinear,-0.1612,0.0016,-0.1690,-0.1555,0.0000,192
3000,124,ElasticLinear,-0.0794,0.3335,-1.0203,1.3247,0.2995,768
3000,125,ElasticLinear,0.0348,0.4615,-1.2646,1.3089,0.4844,192
3000,129,ElasticLinear,0.1449,0.5721,-1.2358,1.7633,0.5599,768
3000,130,ElasticLinear,0.3727,0.6235,-1.1418,1.6748,0.6927,192
3000,134,ElasticLinear,-0.1262,0.1687,-0.7884,0.7281,0.1172,768
3000,135,ElasticLinear,-0.0658,0.2657,-0.7117,0.6057,0.3698,192
3000,139,ElasticLinear,0.0440,0.4930,-1.1972,1.6599,0.4805,768
3000,140,ElasticLinear,0.2733,0.6282,-0.9962,1.6440,0.6250,192
3500,22,ElasticLinear,0.1433,0.7717,-1.4676,2.2780,0.5169,768
3500,23,ElasticLinear,0.3849,0.8611,-1.4557,2.0437,0.6458,192
3500,27,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,768
3500,28,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,192
3500,32,ElasticLinear,-0.1503,0.0831,-0.5635,0.2424,0.0482,768
3500,33,ElasticLinear,-0.1224,0.1420,-0.5686,0.2355,0.1927,192
3500,37,ElasticLinear,0.0469,0.6090,-1.6671,1.9035,0.4948,768
3500,38,ElasticLinear,0.1950,0.7429,-1.3147,1.8315,0.5521,192
3500,56,ElasticLinear,-0.0949,0.3068,-1.1646,1.1504,0.2669,768
3500,57,ElasticLinear,0.0117,0.4493,-1.0825,1.0906,0.4583,192
3500,61,ElasticLinear,0.1336,0.6943,-1.5931,2.0026,0.5521,768
3500,62,ElasticLinear,0.3422,0.7942,-1.5360,1.8406,0.6354,192
3500,66,ElasticLinear,0.0564,0.6757,-1.3233,2.0948,0.4961,768
3500,67,ElasticLinear,0.2357,0.8281,-1.4202,2.1551,0.5781,192
3500,71,ElasticLinear,-0.1243,0.2385,-0.8582,0.9490,0.1914,768
3500,72,ElasticLinear,-0.0403,0.3736,-1.0790,0.8163,0.3906,192
3500,90,ElasticLinear,-0.0074,0.5355,-1.5874,1.9482,0.4440,768
3500,91,ElasticLinear,0.2026,0.6495,-1.1080,1.7584,0.5521,192
3500,95,ElasticLinear,-0.0871,0.4159,-1.4570,1.5534,0.3346,768
3500,96,ElasticLinear,0.0421,0.5678,-1.3316,1.2359,0.5260,192
3500,100,ElasticLinear,0.1264,0.7118,-1.5195,2.0056,0.5482,768
3500,101,ElasticLinear,0.3696,0.8131,-1.5754,2.0142,0.6615,192
3500,105,ElasticLinear,-0.1613,0.0012,-0.1669,-0.1552,0.0000,768
3500,106,ElasticLinear,-0.1611,0.0023,-0.1732,-0.1538,0.0000,192
3500,124,ElasticLinear,-0.0791,0.4180,-1.2857,1.5530,0.3477,768
3500,125,ElasticLinear,0.0401,0.5636,-1.5730,1.5209,0.5000,192
3500,129,ElasticLinear,0.1497,0.6793,-1.5216,2.0031,0.5508,768
3500,130,ElasticLinear,0.3937,0.7287,-1.4275,1.8897,0.6771,192
3500,134,ElasticLinear,-0.1272,0.2208,-1.0168,0.9047,0.1562,768
3500,135,ElasticLinear,-0.0626,0.3459,-0.8919,0.7789,0.4062,192
3500,139,ElasticLinear,0.0511,0.5990,-1.4868,1.9073,0.4987,768
3500,140,ElasticLinear,0.2957,0.7471,-1.2576,1.8780,0.5990,192
4000,22,ElasticLinear,0.1448,0.8906,-1.7406,2.5379,0.5143,768
4000,23,ElasticLinear,0.4014,0.9825,-1.7192,2.2921,0.6354,192
4000,27,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,768
4000,28,ElasticLinear,-0.1614,0.0000,-0.1614,-0.1614,0.0000,192
4000,32,ElasticLinear,-0.1495,0.1100,-0.7001,0.3638,0.0573,768
4000,33,ElasticLinear,-0.1180,0.1848,-0.7000,0.3347,0.2292,192
4000,37,ElasticLinear,0.0515,0.7163,-1.9620,2.1346,0.5052,768
4000,38,ElasticLinear,0.2021,0.8533,-1.5398,2.0322,0.5417,192
4000,56,ElasticLinear,-0.0941,0.3754,-1.3960,1.3432,0.3203,768
4000,57,ElasticLinear,0.0165,0.5368,-1.2923,1.2858,0.4688,192
4000,61,ElasticLinear,0.1392,0.8066,-1.9188,2.2468,0.5456,768
4000,62,ElasticLinear,0.3580,0.9085,-1.8332,2.0594,0.6250,192
4000,66,ElasticLinear,0.0575,0.7936,-1.6425,2.3536,0.4935,768
4000,67,ElasticLinear,0.2459,0.9538,-1.6785,2.4242,0.5573,192
4000,71,ElasticLinear,-0.1239,0.2904,-1.0279,1.0851,0.2135,768
4000,72,ElasticLinear,-0.0313,0.4461,-1.2756,0.9581,0.4115,192
4000,90,ElasticLinear,-0.0065,0.6341,-1.8773,2.1911,0.4648,768
4000,91,ElasticLinear,0.2131,0.7485,-1.3298,1.9768,0.5365,192
4000,95,ElasticLinear,-0.0895,0.5041,-1.7426,1.7829,0.3724,768
4000,96,ElasticLinear,0.0474,0.6706,-1.5781,1.4256,0.5312,192
4000,100,ElasticLinear,0.1261,0.8248,-1.8071,2.2311,0.5378,768
4000,101,ElasticLinear,0.3853,0.9297,-1.8664,2.2413,0.6458,192
