step,train_loss,task_loss,val_loss,val_accuracy,lr
501,4.382332,4.332483,4.314909,0.048200,3.96e-05
1001,4.038312,3.987010,4.009072,0.085100,1.12e-04
1501,3.695433,3.644609,3.643196,0.140000,2.01e-04
2001,3.499670,3.449530,3.346529,0.185700,2.73e-04
2501,3.010698,2.960512,3.133807,0.229900,3.00e-04
3001,3.428229,3.377798,2.978317,0.251100,3.00e-04
3501,2.948719,2.898572,2.813758,0.288800,3.00e-04
4001,2.411471,2.361317,2.693102,0.304900,2.99e-04
4501,2.537223,2.487060,2.644776,0.319700,2.99e-04
5001,2.606880,2.556815,2.526510,0.343500,2.98e-04
5501,2.243968,2.193843,2.475632,0.352000,2.97e-04
6001,2.378629,2.328244,2.444244,0.355800,2.96e-04
6501,2.549589,2.499464,2.359472,0.378900,2.95e-04
7001,2.386185,2.336114,2.279837,0.394400,2.93e-04
7501,2.133981,2.083842,2.241611,0.403800,2.92e-04
8001,2.542060,2.491990,2.173923,0.418100,2.90e-04
8501,2.099852,2.049772,2.193295,0.416500,2.88e-04
9001,2.119248,2.069183,2.128799,0.431400,2.86e-04
9501,2.036883,1.986778,2.099811,0.438700,2.84e-04
10001,2.121513,2.071444,2.091836,0.445200,2.82e-04
10501,1.995614,1.945520,2.018740,0.461000,2.79e-04
11001,2.054684,2.004603,2.024105,0.455800,2.77e-04
11501,1.805198,1.755102,2.009410,0.457500,2.74e-04
12001,2.169549,2.119445,1.963758,0.476100,2.71e-04
12501,2.120150,2.070122,1.950958,0.472300,2.68e-04
13001,1.909546,1.859515,1.995036,0.465900,2.65e-04
13501,1.604480,1.554393,1.932875,0.476800,2.62e-04
14001,1.964303,1.914285,1.964683,0.475800,2.59e-04
14501,1.709897,1.659864,1.906734,0.483800,2.55e-04
15001,2.089024,2.038927,1.877927,0.493500,2.52e-04
15501,1.504419,1.454393,1.835242,0.504200,2.48e-04
16001,1.858428,1.808418,1.852311,0.495900,2.44e-04
16501,1.597781,1.547780,1.827045,0.505600,2.40e-04
17001,1.614733,1.564702,1.790569,0.510400,2.36e-04
17501,1.802784,1.752771,1.804921,0.505100,2.32e-04
18001,2.002399,1.952347,1.775725,0.523100,2.28e-04
18501,1.657207,1.607194,1.789002,0.514200,2.24e-04
19001,1.749081,1.699055,1.766740,0.522200,2.19e-04
19501,1.729948,1.679941,1.776123,0.521000,2.15e-04
20001,1.485058,1.435006,1.747570,0.527400,2.10e-04
20501,1.940753,1.890756,1.734270,0.532200,2.06e-04
21001,1.690422,1.640396,1.725816,0.536300,2.01e-04
21501,1.192289,1.142278,1.751185,0.530700,1.96e-04
22001,1.766362,1.716326,1.739453,0.528600,1.92e-04
22501,1.900514,1.850492,1.725873,0.532100,1.87e-04
23001,1.639358,1.589343,1.702919,0.539300,1.82e-04
23501,1.644326,1.594311,1.702889,0.538500,1.77e-04
24001,1.663581,1.613584,1.698273,0.537500,1.72e-04
24501,1.708100,1.658080,1.684394,0.540700,1.67e-04
25001,1.467227,1.417200,1.661953,0.547400,1.62e-04
25501,1.581585,1.531565,1.655983,0.549900,1.57e-04
26001,1.906748,1.856742,1.673170,0.543100,1.52e-04
26501,1.249009,1.199010,1.677841,0.543400,1.48e-04
27001,1.498436,1.448415,1.644884,0.554300,1.43e-04
27501,1.529808,1.479801,1.643480,0.559600,1.38e-04
28001,1.344043,1.294024,1.623661,0.559900,1.33e-04
28501,1.838856,1.788838,1.642951,0.558100,1.28e-04
29001,1.307686,1.257676,1.623504,0.563100,1.23e-04
29501,1.361254,1.311239,1.627406,0.560400,1.18e-04
30001,1.129292,1.079284,1.610463,0.565800,1.13e-04
30501,1.574632,1.524605,1.616083,0.564200,1.08e-04
31001,1.257790,1.207790,1.618559,0.564900,1.04e-04
31501,1.438582,1.388545,1.612530,0.563600,9.89e-05
32001,1.423138,1.373115,1.619589,0.560100,9.43e-05
32501,1.444498,1.394497,1.604457,0.568100,8.97e-05
33001,1.084307,1.034312,1.579441,0.572300,8.52e-05
33501,1.362942,1.312945,1.587163,0.566300,8.08e-05
34001,1.110724,1.060710,1.598367,0.565400,7.64e-05
34501,1.224438,1.174424,1.578004,0.571300,7.21e-05
35001,1.293709,1.243705,1.556190,0.582600,6.79e-05
35501,1.246291,1.196274,1.564416,0.574600,6.38e-05
36001,1.172101,1.122090,1.553566,0.580200,5.98e-05
36501,1.254899,1.204884,1.553269,0.579200,5.59e-05
37001,1.269911,1.219911,1.573718,0.573500,5.21e-05
37501,1.149357,1.099354,1.544927,0.583400,4.84e-05
38001,1.369431,1.319430,1.534013,0.584100,4.48e-05
38501,0.976201,0.926199,1.553223,0.581000,4.13e-05
39001,1.033123,0.983116,1.539019,0.585700,3.80e-05
39501,1.188404,1.138396,1.544686,0.580900,3.47e-05
40001,1.222337,1.172319,1.542596,0.581700,3.16e-05
40501,1.070719,1.020716,1.533301,0.584400,2.86e-05
41001,1.109577,1.059561,1.534682,0.586800,2.58e-05
41501,1.277220,1.227207,1.532516,0.584000,2.31e-05
42001,1.467764,1.417762,1.527471,0.587000,2.05e-05
42501,1.023985,0.973978,1.530570,0.584900,1.81e-05
43001,0.848586,0.798577,1.519318,0.588500,1.58e-05
43501,1.106650,1.056637,1.526309,0.588300,1.36e-05
44001,1.356231,1.306230,1.524157,0.589100,1.17e-05
44501,1.105711,1.055710,1.521786,0.588700,9.81e-06
45001,1.187607,1.137602,1.518789,0.591400,8.12e-06
45501,1.052358,1.002355,1.518545,0.591000,6.59e-06
46001,1.268644,1.218642,1.519796,0.591000,5.21e-06
46501,1.082526,1.032529,1.518568,0.591400,4.00e-06
47001,1.114120,1.064111,1.518765,0.590100,2.94e-06
47501,1.084721,1.034718,1.518837,0.590100,2.04e-06
48001,1.311466,1.261466,1.518121,0.589500,1.31e-06
48501,1.126220,1.076221,1.517620,0.590800,7.37e-07
49001,1.018608,0.968614,1.517285,0.591300,3.28e-07
49501,1.044231,0.994231,1.517504,0.591500,8.26e-08
