step,layer_idx,layer_name,mean,std,min,max,frac_active,num_neurons
1500,28,ElasticLinear,-0.1517,0.0110,-0.1680,-0.1176,0.0000,192
1500,32,ElasticLinear,0.0950,0.2562,-0.4258,0.9933,0.5560,768
1500,33,ElasticLinear,0.2898,0.2966,-0.3038,0.9286,0.8073,192
1500,37,ElasticLinear,-0.0131,0.1780,-0.3343,0.7752,0.3125,768
1500,38,ElasticLinear,0.1500,0.2353,-0.2721,0.7155,0.6719,192
1500,56,ElasticLinear,0.0890,0.2409,-0.3402,1.0062,0.5612,768
1500,57,ElasticLinear,0.2930,0.2840,-0.3575,0.9291,0.8177,192
1500,61,ElasticLinear,0.0746,0.2389,-0.3476,0.9468,0.5326,768
1500,62,ElasticLinear,0.2564,0.2681,-0.2238,0.8794,0.7969,192
1500,66,ElasticLinear,-0.1620,0.0001,-0.1623,-0.1616,0.0000,768
1500,67,ElasticLinear,-0.1620,0.0001,-0.1624,-0.1616,0.0000,192
1500,71,ElasticLinear,-0.1614,0.0016,-0.1651,-0.1476,0.0000,768
1500,72,ElasticLinear,-0.1601,0.0027,-0.1639,-0.1476,0.0000,192
1500,90,ElasticLinear,-0.0965,0.0991,-0.2587,0.4232,0.1250,768
1500,91,ElasticLinear,-0.0079,0.1424,-0.2783,0.4287,0.3490,192
1500,95,ElasticLinear,0.0466,0.2213,-0.2945,0.9038,0.4414,768
1500,96,ElasticLinear,0.2262,0.2455,-0.1995,0.8211,0.8229,192
1500,100,ElasticLinear,0.0542,0.2239,-0.2735,0.8791,0.4596,768
1500,101,ElasticLinear,0.2149,0.2525,-0.2922,0.7803,0.7917,192
1500,105,ElasticLinear,-0.0529,0.1453,-0.2505,0.5537,0.2148,768
1500,106,ElasticLinear,0.0691,0.1790,-0.2271,0.5503,0.5469,192
1500,124,ElasticLinear,-0.0331,0.1615,-0.2673,0.6767,0.2500,768
1500,125,ElasticLinear,0.1287,0.2149,-0.2712,0.6837,0.6615,192
1500,129,ElasticLinear,-0.0822,0.1206,-0.2908,0.4913,0.1615,768
1500,130,ElasticLinear,0.0196,0.1731,-0.3358,0.5226,0.4115,192
1500,134,ElasticLinear,-0.1613,0.0026,-0.1733,-0.1440,0.0000,768
1500,135,ElasticLinear,-0.1600,0.0045,-0.1747,-0.1440,0.0000,192
1500,139,ElasticLinear,0.1462,0.2536,-0.3137,0.9077,0.6719,768
1500,140,ElasticLinear,0.3034,0.2722,-0.3095,0.8299,0.8698,192
2000,22,ElasticLinear,0.0030,0.2486,-0.5721,0.8620,0.3919,768
2000,23,ElasticLinear,0.1883,0.3072,-0.6404,0.8256,0.6979,192
2000,27,ElasticLinear,-0.1589,0.0095,-0.1839,-0.0926,0.0000,768
2000,28,ElasticLinear,-0.1516,0.0149,-0.1829,-0.1078,0.0000,192
2000,32,ElasticLinear,0.1009,0.3282,-0.6972,1.2110,0.5391,768
2000,33,ElasticLinear,0.2983,0.3883,-0.5171,1.1031,0.7604,192
2000,37,ElasticLinear,-0.0076,0.2258,-0.5703,0.9813,0.3607,768
2000,38,ElasticLinear,0.1583,0.3030,-0.4767,0.8684,0.6146,192
2000,56,ElasticLinear,0.0950,0.3131,-0.5770,1.2340,0.5599,768
2000,57,ElasticLinear,0.3043,0.3807,-0.6021,1.1366,0.7760,192
2000,61,ElasticLinear,0.0788,0.3097,-0.5739,1.1623,0.5286,768
2000,62,ElasticLinear,0.2668,0.3518,-0.4105,1.0398,0.7552,192
2000,66,ElasticLinear,-0.1620,0.0001,-0.1626,-0.1614,0.0000,768
2000,67,ElasticLinear,-0.1620,0.0002,-0.1626,-0.1615,0.0000,192
2000,71,ElasticLinear,-0.1615,0.0021,-0.1685,-0.1443,0.0000,768
2000,72,ElasticLinear,-0.1600,0.0039,-0.1717,-0.1431,0.0000,192
2000,90,ElasticLinear,-0.0941,0.1327,-0.4386,0.5473,0.1432,768
2000,91,ElasticLinear,-0.0005,0.1937,-0.4704,0.5508,0.3906,192
2000,95,ElasticLinear,0.0463,0.2780,-0.5147,1.0823,0.4505,768
2000,96,ElasticLinear,0.2286,0.3197,-0.4130,0.9684,0.7292,192
2000,100,ElasticLinear,0.0610,0.2888,-0.4864,1.0937,0.4674,768
2000,101,ElasticLinear,0.2235,0.3375,-0.5193,0.9611,0.7604,192
2000,105,ElasticLinear,-0.0521,0.1858,-0.4392,0.6892,0.2565,768
2000,106,ElasticLinear,0.0725,0.2351,-0.3945,0.6844,0.5260,192
2000,124,ElasticLinear,-0.0328,0.2105,-0.4685,0.8403,0.2878,768
2000,125,ElasticLinear,0.1343,0.2878,-0.4761,0.8550,0.6146,192
2000,129,ElasticLinear,-0.0786,0.1571,-0.5063,0.6446,0.1901,768
2000,130,ElasticLinear,0.0249,0.2304,-0.5350,0.6606,0.4427,192
2000,134,ElasticLinear,-0.1614,0.0045,-0.1893,-0.1342,0.0000,768
2000,135,ElasticLinear,-0.1601,0.0077,-0.1928,-0.1358,0.0000,192
2000,139,ElasticLinear,0.1495,0.3299,-0.4959,1.0968,0.6263,768
2000,140,ElasticLinear,0.3028,0.3608,-0.5545,0.9774,0.7656,192
2500,22,ElasticLinear,0.0073,0.3148,-0.8259,1.0444,0.4206,768
2500,23,ElasticLinear,0.2084,0.3863,-0.9184,0.9835,0.6771,192
2500,27,ElasticLinear,-0.1630,0.0132,-0.2197,-0.0764,0.0000,768
2500,28,ElasticLinear,-0.1557,0.0212,-0.2224,-0.0952,0.0000,192
2500,32,ElasticLinear,0.1060,0.4099,-0.9914,1.4350,0.5391,768
2500,33,ElasticLinear,0.3085,0.4828,-0.7486,1.2852,0.7083,192
2500,37,ElasticLinear,-0.0043,0.2811,-0.8048,1.1808,0.3893,768
2500,38,ElasticLinear,0.1655,0.3760,-0.6795,1.0059,0.6198,192
2500,56,ElasticLinear,0.0984,0.3928,-0.8486,1.4483,0.5456,768
2500,57,ElasticLinear,0.3109,0.4765,-0.8580,1.3420,0.7292,192
2500,61,ElasticLinear,0.0810,0.3890,-0.8063,1.3737,0.5352,768
2500,62,ElasticLinear,0.2774,0.4360,-0.6053,1.1903,0.7135,192
2500,66,ElasticLinear,-0.1661,0.0001,-0.1667,-0.1654,0.0000,768
2500,67,ElasticLinear,-0.1661,0.0002,-0.1667,-0.1653,0.0000,192
2500,71,ElasticLinear,-0.1655,0.0029,-0.1780,-0.1449,0.0000,768
2500,72,ElasticLinear,-0.1641,0.0058,-0.1847,-0.1414,0.0000,192
2500,90,ElasticLinear,-0.0949,0.1751,-0.6340,0.6908,0.1589,768
2500,91,ElasticLinear,0.0051,0.2547,-0.6604,0.6626,0.4167,192
2500,95,ElasticLinear,0.0437,0.3426,-0.7170,1.2686,0.4583,768
2500,96,ElasticLinear,0.2321,0.3949,-0.5962,1.1241,0.6823,192
2500,100,ElasticLinear,0.0666,0.3598,-0.7009,1.2987,0.4661,768
2500,101,ElasticLinear,0.2354,0.4245,-0.7342,1.1267,0.7188,192
2500,105,ElasticLinear,-0.0532,0.2370,-0.6285,0.8192,0.2943,768
2500,106,ElasticLinear,0.0756,0.3001,-0.5757,0.8123,0.5312,192
2500,124,ElasticLinear,-0.0362,0.2693,-0.6883,1.0163,0.3242,768
2500,125,ElasticLinear,0.1361,0.3664,-0.7066,1.0067,0.5729,192
2500,129,ElasticLinear,-0.0788,0.2000,-0.7095,0.8102,0.2174,768
