step,layer_idx,layer_name,mean,std,min,max,frac_active,num_neurons
500,22,ElasticLinear,-0.1171,0.0204,-0.1326,0.0205,0.0052,768
500,23,ElasticLinear,-0.1000,0.0299,-0.1289,0.0673,0.0208,192
500,27,ElasticLinear,0.1199,0.1816,-0.1093,0.7042,0.7044,768
500,28,ElasticLinear,0.2963,0.2027,-0.0074,0.7321,0.9948,192
500,32,ElasticLinear,0.0506,0.1800,-0.1251,0.7427,0.4362,768
500,33,ElasticLinear,0.2227,0.2358,-0.0611,0.7394,0.8490,192
500,37,ElasticLinear,-0.0795,0.0619,-0.1309,0.2361,0.0938,768
500,38,ElasticLinear,-0.0074,0.0782,-0.1137,0.2696,0.3542,192
500,56,ElasticLinear,-0.1261,0.0077,-0.1320,-0.0680,0.0000,768
500,57,ElasticLinear,-0.1193,0.0100,-0.1306,-0.0818,0.0000,192
500,61,ElasticLinear,-0.1296,0.0013,-0.1313,-0.1195,0.0000,768
500,62,ElasticLinear,-0.1286,0.0021,-0.1315,-0.1196,0.0000,192
500,66,ElasticLinear,0.1660,0.2051,-0.0963,0.7730,0.7982,768
500,67,ElasticLinear,0.3606,0.2196,0.0238,0.7789,1.0000,192
500,71,ElasticLinear,0.0150,0.1529,-0.1261,0.6061,0.3516,768
500,72,ElasticLinear,0.1518,0.1767,-0.0780,0.6174,0.7917,192
500,90,ElasticLinear,-0.0976,0.0537,-0.1347,0.3939,0.0417,768
500,91,ElasticLinear,-0.0452,0.0845,-0.1218,0.2963,0.1562,192
500,95,ElasticLinear,0.1963,0.2004,-0.0898,0.7734,0.8802,768
500,96,ElasticLinear,0.3685,0.2006,0.0251,0.7621,1.0000,192
500,100,ElasticLinear,-0.1301,0.0000,-0.1302,-0.1298,0.0000,768
500,101,ElasticLinear,-0.1301,0.0001,-0.1302,-0.1299,0.0000,192
500,105,ElasticLinear,-0.1217,0.0132,-0.1327,-0.0406,0.0000,768
500,106,ElasticLinear,-0.1073,0.0166,-0.1292,-0.0473,0.0000,192
500,124,ElasticLinear,0.0270,0.1570,-0.1130,0.6790,0.3815,768
500,125,ElasticLinear,0.1789,0.1735,-0.0384,0.6590,0.9167,192
500,129,ElasticLinear,0.0226,0.1364,-0.1192,0.5800,0.3737,768
500,130,ElasticLinear,0.2022,0.1614,-0.0498,0.5918,0.9271,192
500,134,ElasticLinear,0.0736,0.1691,-0.1134,0.6706,0.5508,768
500,135,ElasticLinear,0.2585,0.1853,-0.0545,0.6711,0.9792,192
500,139,ElasticLinear,-0.0876,0.0710,-0.1326,0.4624,0.0638,768
500,140,ElasticLinear,-0.0251,0.0872,-0.1183,0.3086,0.2292,192
1000,22,ElasticLinear,-0.1345,0.0325,-0.1689,0.1090,0.0104,768
1000,23,ElasticLinear,-0.1191,0.0506,-0.1796,0.1598,0.0312,192
1000,27,ElasticLinear,0.1268,0.2797,-0.2579,1.0555,0.5820,768
1000,28,ElasticLinear,0.3136,0.3622,-0.2787,1.0741,0.7865,192
1000,32,ElasticLinear,0.0581,0.2963,-0.2981,1.1559,0.4102,768
1000,33,ElasticLinear,0.2532,0.4230,-0.2940,1.1180,0.6042,192
1000,37,ElasticLinear,-0.0938,0.0847,-0.1775,0.3927,0.0977,768
1000,38,ElasticLinear,-0.0170,0.1259,-0.1893,0.4222,0.3177,192
1000,56,ElasticLinear,-0.1434,0.0098,-0.1539,-0.0550,0.0000,768
1000,57,ElasticLinear,-0.1365,0.0129,-0.1527,-0.0880,0.0000,192
1000,61,ElasticLinear,-0.1470,0.0015,-0.1489,-0.1348,0.0000,768
1000,62,ElasticLinear,-0.1461,0.0024,-0.1498,-0.1364,0.0000,192
1000,66,ElasticLinear,0.1846,0.3412,-0.2863,1.1813,0.6198,768
1000,67,ElasticLinear,0.4107,0.4179,-0.2421,1.1722,0.8021,192
1000,71,ElasticLinear,0.0105,0.2125,-0.2077,0.8588,0.3112,768
1000,72,ElasticLinear,0.1621,0.2759,-0.2151,0.8896,0.6354,192
1000,90,ElasticLinear,-0.1098,0.0922,-0.2632,0.6212,0.0716,768
1000,91,ElasticLinear,-0.0502,0.1654,-0.2280,0.5657,0.1771,192
1000,95,ElasticLinear,0.2040,0.3326,-0.2875,1.1777,0.6615,768
1000,96,ElasticLinear,0.3792,0.3838,-0.3008,1.1098,0.7917,192
1000,100,ElasticLinear,-0.1474,0.0000,-0.1476,-0.1471,0.0000,768
1000,101,ElasticLinear,-0.1474,0.0001,-0.1475,-0.1471,0.0000,192
1000,105,ElasticLinear,-0.1390,0.0159,-0.1543,-0.0277,0.0000,768
1000,106,ElasticLinear,-0.1240,0.0215,-0.1510,-0.0615,0.0000,192
1000,124,ElasticLinear,0.0312,0.2554,-0.2874,1.0613,0.3516,768
1000,125,ElasticLinear,0.2009,0.3266,-0.2429,1.0445,0.6667,192
1000,129,ElasticLinear,0.0121,0.1929,-0.2267,0.8725,0.3568,768
1000,130,ElasticLinear,0.2034,0.2852,-0.2353,0.9077,0.7344,192
1000,134,ElasticLinear,0.0756,0.2430,-0.2165,0.9348,0.4922,768
1000,135,ElasticLinear,0.2774,0.3037,-0.2210,0.9204,0.8073,192
1000,139,ElasticLinear,-0.0997,0.1231,-0.2354,0.8188,0.0859,768
1000,140,ElasticLinear,-0.0243,0.1738,-0.2434,0.5819,0.2552,192
1500,22,ElasticLinear,-0.1429,0.0597,-0.3039,0.2674,0.0365,768
1500,23,ElasticLinear,-0.1299,0.0953,-0.3180,0.3017,0.0781,192
1500,27,ElasticLinear,0.1390,0.4080,-0.5736,1.3903,0.5352,768
1500,28,ElasticLinear,0.3314,0.5332,-0.6223,1.4041,0.6719,192
1500,32,ElasticLinear,0.0709,0.4385,-0.6660,1.5312,0.4219,768
1500,33,ElasticLinear,0.2818,0.6206,-0.6362,1.4738,0.5781,192
1500,37,ElasticLinear,-0.0986,0.1280,-0.3721,0.5764,0.1315,768
1500,38,ElasticLinear,-0.0174,0.2023,-0.3647,0.5856,0.3438,192
1500,56,ElasticLinear,-0.1515,0.0167,-0.2104,-0.0117,0.0000,768
1500,57,ElasticLinear,-0.1446,0.0234,-0.2081,-0.0606,0.0000,192
1500,61,ElasticLinear,-0.1554,0.0037,-0.1692,-0.1324,0.0000,768
1500,62,ElasticLinear,-0.1549,0.0061,-0.1772,-0.1361,0.0000,192
1500,66,ElasticLinear,0.2055,0.5027,-0.6439,1.5652,0.5820,768
1500,67,ElasticLinear,0.4598,0.6209,-0.5870,1.5444,0.7188,192
1500,71,ElasticLinear,0.0146,0.2967,-0.4814,1.1252,0.3568,768
1500,72,ElasticLinear,0.1799,0.3962,-0.4456,1.1689,0.5573,192
1500,90,ElasticLinear,-0.1110,0.1569,-0.5921,0.9137,0.1133,768
1500,91,ElasticLinear,-0.0442,0.2773,-0.4511,0.8831,0.2500,192
1500,95,ElasticLinear,0.2137,0.4870,-0.6210,1.5522,0.6016,768
1500,96,ElasticLinear,0.3918,0.5703,-0.6523,1.4477,0.6979,192
1500,100,ElasticLinear,-0.1558,0.0001,-0.1560,-0.1553,0.0000,768
1500,101,ElasticLinear,-0.1557,0.0001,-0.1560,-0.1554,0.0000,192
1500,105,ElasticLinear,-0.1473,0.0254,-0.2238,0.0314,0.0078,768
1500,106,ElasticLinear,-0.1318,0.0363,-0.2158,-0.0347,0.0000,192
1500,124,ElasticLinear,0.0422,0.3796,-0.6520,1.4271,0.3854,768
1500,125,ElasticLinear,0.2270,0.4946,-0.5247,1.4207,0.6250,192
1500,129,ElasticLinear,0.0091,0.2764,-0.5122,1.1433,0.3971,768
1500,130,ElasticLinear,0.2063,0.4264,-0.5305,1.2212,0.6354,192
1500,134,ElasticLinear,0.0851,0.3433,-0.4898,1.2144,0.4740,768
1500,135,ElasticLinear,0.3000,0.4420,-0.5319,1.1901,0.7083,192
1500,139,ElasticLinear,-0.1023,0.1982,-0.5479,1.1768,0.1211,768
1500,140,ElasticLinear,-0.0101,0.2984,-0.5379,0.9061,0.3281,192
2000,22,ElasticLinear,-0.1486,0.0962,-0.4694,0.4539,0.0534,768
2000,23,ElasticLinear,-0.1382,0.1547,-0.4967,0.4809,0.1250,192
2000,27,ElasticLinear,0.1511,0.5497,-0.9243,1.7166,0.5391,768
2000,28,ElasticLinear,0.3486,0.7057,-0.9809,1.7261,0.6458,192
2000,32,ElasticLinear,0.0855,0.6034,-1.0236,1.9067,0.4440,768
2000,33,ElasticLinear,0.3170,0.8314,-0.9922,1.8293,0.5833,192
2000,37,ElasticLinear,-0.1005,0.1889,-0.5760,0.7924,0.1771,768
2000,38,ElasticLinear,-0.0148,0.2992,-0.6026,0.7736,0.3802,192
2000,56,ElasticLinear,-0.1571,0.0266,-0.2758,0.0497,0.0052,768
2000,57,ElasticLinear,-0.1501,0.0385,-0.2668,-0.0201,0.0000,192
2000,61,ElasticLinear,-0.1612,0.0068,-0.1887,-0.1260,0.0000,768
2000,62,ElasticLinear,-0.1610,0.0110,-0.2037,-0.1310,0.0000,192
2000,66,ElasticLinear,0.2255,0.6796,-1.0106,1.9404,0.5573,768
2000,67,ElasticLinear,0.5117,0.8250,-0.9314,1.9235,0.6823,192
