step,train_loss,task_loss,val_loss,val_accuracy,lr
501,2.019699,1.969503,1.908432,0.278750,3.96e-05
1001,1.653024,1.602506,1.693197,0.348375,1.12e-04
1501,1.591073,1.540443,1.442742,0.454375,2.01e-04
2001,1.624020,1.573570,1.389905,0.482375,2.73e-04
2501,1.349808,1.299588,1.280054,0.520125,3.00e-04
3001,1.209778,1.159711,1.368618,0.511375,3.00e-04
3501,1.047071,0.996644,1.221521,0.553625,3.00e-04
4001,1.076935,1.026747,1.194222,0.562625,2.99e-04
4501,0.979185,0.928998,1.112155,0.592750,2.99e-04
5001,1.202014,1.151984,1.104001,0.601500,2.98e-04
5501,1.049641,0.998873,1.095810,0.603875,2.97e-04
6001,0.890912,0.840829,1.086158,0.615500,2.96e-04
6501,0.903000,0.852926,1.056462,0.627750,2.95e-04
7001,0.894454,0.844197,1.085924,0.620375,2.93e-04
7501,0.705548,0.655501,1.120354,0.613125,2.92e-04
8001,0.609574,0.559470,1.061645,0.630125,2.90e-04
8501,0.739664,0.689545,1.095436,0.626500,2.88e-04
9001,0.714346,0.664212,1.134386,0.621750,2.86e-04
9501,0.741900,0.691872,1.175410,0.624125,2.84e-04
10001,0.913521,0.863461,1.293635,0.599500,2.82e-04
10501,0.757829,0.707753,1.133394,0.634500,2.79e-04
11001,0.701890,0.651781,1.216146,0.613000,2.77e-04
11501,0.568978,0.518906,1.166714,0.636250,2.74e-04
12001,0.404204,0.354096,1.205300,0.637125,2.71e-04
12501,0.671257,0.621109,1.264662,0.624000,2.68e-04
13001,0.436718,0.386683,1.252567,0.632500,2.65e-04
13501,0.373491,0.323487,1.320730,0.625125,2.62e-04
14001,0.475777,0.425693,1.327549,0.629875,2.59e-04
14501,0.452596,0.402565,1.380833,0.626625,2.55e-04
15001,0.415228,0.365167,1.362421,0.635875,2.52e-04
15501,0.494845,0.444781,1.495937,0.621500,2.48e-04
16001,0.429272,0.379219,1.403701,0.628625,2.44e-04
16501,0.509980,0.459949,1.395693,0.648000,2.40e-04
17001,0.418749,0.368707,1.485046,0.634625,2.36e-04
17501,0.392578,0.342479,1.481093,0.636500,2.32e-04
18001,0.316838,0.266808,1.490438,0.641125,2.28e-04
18501,0.261076,0.211055,1.689032,0.615500,2.24e-04
19001,0.196775,0.146710,1.559246,0.633875,2.19e-04
19501,0.183275,0.133173,1.632929,0.625250,2.15e-04
20001,0.293921,0.243867,1.606995,0.642875,2.10e-04
20501,0.297278,0.247229,1.702851,0.625000,2.06e-04
21001,0.258884,0.208857,1.667034,0.631875,2.01e-04
21501,0.187080,0.137068,1.701028,0.629750,1.96e-04
22001,0.240428,0.190390,1.666890,0.631125,1.92e-04
22501,0.308013,0.257965,1.671565,0.634375,1.87e-04
23001,0.141578,0.091567,1.753722,0.633625,1.82e-04
23501,0.189087,0.139056,1.794012,0.631750,1.77e-04
24001,0.171632,0.121575,1.757803,0.634500,1.72e-04
24501,0.165088,0.115076,1.774821,0.643000,1.67e-04
25001,0.141328,0.091294,1.801708,0.639000,1.62e-04
25501,0.178279,0.128259,1.846782,0.639500,1.57e-04
26001,0.108094,0.058089,1.906503,0.630500,1.52e-04
26501,0.203525,0.153483,1.937540,0.632375,1.48e-04
27001,0.206366,0.156351,1.947429,0.638125,1.43e-04
27501,0.151036,0.100994,1.917672,0.640250,1.38e-04
28001,0.202345,0.152336,1.940233,0.637000,1.33e-04
28501,0.113543,0.063526,1.987143,0.639125,1.28e-04
29001,0.172418,0.122409,2.007654,0.642250,1.23e-04
29501,0.134678,0.084681,2.057345,0.639750,1.18e-04
30001,0.091993,0.041987,2.117448,0.632375,1.13e-04
30501,0.342514,0.292482,2.076591,0.632750,1.08e-04
31001,0.153802,0.103795,2.119609,0.639625,1.04e-04
31501,0.083663,0.033650,2.121706,0.637875,9.89e-05
32001,0.132057,0.082037,2.056411,0.648375,9.43e-05
32501,0.134530,0.084523,2.208269,0.637500,8.97e-05
33001,0.294012,0.244010,2.199934,0.630875,8.52e-05
33501,0.216625,0.166606,2.164223,0.638625,8.08e-05
34001,0.198418,0.148412,2.219786,0.634125,7.64e-05
34501,0.123573,0.073552,2.190178,0.647375,7.21e-05
35001,0.104218,0.054207,2.201348,0.645250,6.79e-05
35501,0.138177,0.088154,2.278351,0.643750,6.38e-05
36001,0.152640,0.102634,2.291297,0.638750,5.98e-05
36501,0.118450,0.068435,2.281229,0.642750,5.59e-05
37001,0.093687,0.043673,2.286346,0.644875,5.21e-05
37501,0.190568,0.140558,2.320324,0.642375,4.84e-05
38001,0.081539,0.031515,2.333673,0.641625,4.48e-05
38501,0.077493,0.027488,2.400794,0.639500,4.13e-05
39001,0.093456,0.043449,2.458407,0.640875,3.80e-05
39501,0.108398,0.058386,2.389503,0.647000,3.47e-05
40001,0.089422,0.039413,2.413980,0.644750,3.16e-05
40501,0.072500,0.022490,2.413676,0.646875,2.86e-05
41001,0.052335,0.002321,2.428998,0.647875,2.58e-05
41501,0.059239,0.009242,2.456773,0.645750,2.31e-05
42001,0.076741,0.026732,2.441861,0.649375,2.05e-05
42501,0.174490,0.124490,2.473751,0.646375,1.81e-05
43001,0.099167,0.049166,2.501274,0.645375,1.58e-05
43501,0.059837,0.009824,2.509512,0.647375,1.36e-05
44001,0.060518,0.010509,2.491140,0.647875,1.17e-05
44501,0.060010,0.010011,2.510563,0.647875,9.81e-06
45001,0.112061,0.062060,2.514407,0.645750,8.12e-06
45501,0.075129,0.025123,2.502638,0.646750,6.59e-06
46001,0.078509,0.028509,2.525809,0.646750,5.21e-06
46501,0.068325,0.018328,2.520005,0.647125,4.00e-06
47001,0.125298,0.075302,2.523978,0.649125,2.94e-06
47501,0.062823,0.012821,2.517934,0.648500,2.04e-06
48001,0.056225,0.006227,2.526838,0.649000,1.31e-06
48501,0.065341,0.015344,2.527137,0.647125,7.37e-07
49001,0.059989,0.009984,2.525050,0.648375,3.28e-07
49501,0.073485,0.023483,2.525129,0.648000,8.26e-08
